sep=|
1100158|Accurate object localization in gray level images using the center of gravity measure: accuracy versus precision.|Hans C. van Assen,Michael Egmont-Petersen,Johan H. C. Reiber||IEEE Transactions on Image Processing
1100159|On the optimality of nonunitary filter banks in subband coders.|Sven Ole Aase,Tor A. Ramstad||IEEE Transactions on Image Processing
1100160|Intensity mappings within the context of near-sensor image processing.|Anders Åström,Robert Forchheimer,Per-Erik Danielsson||IEEE Transactions on Image Processing
1100161|Affine-similar shape retrieval: application to multiview 3-D object recognition.|Sadegh Abbasi,Farzin Mokhtarian||IEEE Transactions on Image Processing
1100162|A new reconstruction approach for reflection mode diffraction tomography.|Mark A. Anastasio,Xiaochuan Pan||IEEE Transactions on Image Processing
1100163|The finite ridgelet transform for image representation.|Minh N. Do,Martin Vetterli||IEEE Transactions on Image Processing
1100164|Automatic Selection of Parameters for Vessel/Neurite Segmentation Algorithms.|M.-A. Abdul-Karim,Badrinath Roysam,N. Dowell-Mesfin,A. Jeromin,Murat Yuksel,Shivkumar Kalyanaraman||IEEE Transactions on Image Processing
1100165|Identification of image and blur parameters in frequency domain using the EM algorithm.|Emin Anarim,Hakan Ucar,Yorgo Istefanopulos||IEEE Transactions on Image Processing
1100166|The contourlet transform: an efficient directional multiresolution image representation.|Minh N. Do,Martin Vetterli||IEEE Transactions on Image Processing
1100167|Hyperspectral image compression using entropy-constrained predictive trellis coded quantization.|Glen P. Abousleman,Michael W. Marcellin,Bobby R. Hunt||IEEE Transactions on Image Processing
1100168|Global feature extraction operations for near-sensor image processing.|Anders Åström,Robert Forchheimer,Jan-Erik Eklund||IEEE Transactions on Image Processing
1100169|A class of constrained clustering algorithms for object boundary extraction.|Arnaldo J. Abrantes,Jorge S. Marques||IEEE Transactions on Image Processing
1100170|Faster image template matching in the sum of the absolute value of differences measure.|Mikhail J. Atallah||IEEE Transactions on Image Processing
1100171|A new efficient approach for the removal of impulse noise from highly corrupted images.|Eduardo Abreu,Michael Lightstone,Sanjit K. Mitra,Kaoru Arakawa||IEEE Transactions on Image Processing
1100172|Recovery of surface orientation from diffuse polarization.|Gary Atkinson,Edwin R. Hancock||IEEE Transactions on Image Processing
1100173|A multiplicative regularization approach for deblurring problems.|Aria Abubakar,Peter M. van den Berg,Tarek M. Habashy,Henning Braunisch||IEEE Transactions on Image Processing
1100174|Asymptotically optimal blind estimation of multichannel images.|Ian C. Atkinson,Farzad Kamalabadi,Satish Mohan,Douglas L. Jones||IEEE Transactions on Image Processing
1100175|Total variation as a multiplicative constraint for solving inverse problems.|Aria Abubaker,Peter M. van Den Berg||IEEE Transactions on Image Processing
1100176|Multiwavelet prefilters. II. Optimal orthogonal prefilters.|Kitti Attakitmongcol,Douglas P. Hardin,D. Mitchell Wilkes||IEEE Transactions on Image Processing
1100177|A genetic algorithm for the estimation of ridges in fingerprints.|Ahmed S. Abutaleb,Mohamed S. Kamel||IEEE Transactions on Image Processing
1100178|JPEG2000-coded image error concealment exploiting convex sets projections.|Luigi Atzori,Giaime Ginesu,Alessio Raccis||IEEE Transactions on Image Processing
1100179|Multigrid anisotropic diffusion.|Scott T. Acton||IEEE Transactions on Image Processing
1100180|An automatic nonrigid registration for stained histological sections.|M. Auer,P. Regitnig,Gerhard Holzapfel||IEEE Transactions on Image Processing
1100181|Nonlinear image estimation using piecewise and local image models.|Scott T. Acton,Alan C. Bovik||IEEE Transactions on Image Processing
1100182|Wavelet-based level set evolution for classification of textured images.|Jean-François Aujol,Gilles Aubert,Laure Blanc-Féraud||IEEE Transactions on Image Processing
1100183|Piecewise and local image models for regularized image restoration using cross-validation.|Scott T. Acton,Alan C. Bovik||IEEE Transactions on Image Processing
