sep=|
793168|Multimedia Document Search on the Web.|Giuseppe Amato,Fausto Rabitti,Pasquale Savino||Computer Networks
793169|Priorities in WLANs.|Imad Aad,Claude Castelluccia||Computer Networks
793170|Wavelength decomposition approach for computing blocking probabilities in WDM optical networks without wavelength conversions.|Anwar Alyatama||Computer Networks
793171|Secure Web Tunneling.|Martín Abadi,Andrew Birrell,Raymie Stata,Edward Wobber||Computer Networks
793172|Network-conscious GIF image transmission over the Internet.|Paul D. Amer,Sami Iren,Gul E. Sezen,Phillip T. Conrad,Mason Taube,Armando L. Caro Jr.||Computer Networks
793175|Adaptive rate control in high-speed networks: performance issues.|Mohamed Abdelaziz,Ioannis Stavrakakis||Computer Networks
793176|Teletext-Like Information Delivery Using Broadcast Polling.|Mostafa H. Ammar||Computer Networks
793177|Web Content Adaptation to Improve Server Overload Behavior.|Tarek F. Abdelzaher,Nina T. Bhatti||Computer Networks
793179|A framework for determining efficient management configurations.|Hasina Abdu,Hanan Lutfiyya,Michael A. Bauer||Computer Networks
793180|An interchange format for cross-media personalized publishing.|Patrick van Amstel,Pim van der Eijk,Evert Haasdijk,David Kuilman||Computer Networks
793181|A Web marketing system with automatic pricing.|Naoki Abe,Tomonari Kamba||Computer Networks
793182|Using Quality of Service can be Simple: Arequipa with Renegotiable ATM Connections.|Werner Almesberger,Leena Chandran-Wadia,Silvia Giordano,Jean-Yves Le Boudec,Rolf Schmid||Computer Networks
793183|The Xyleme project.|Serge Abiteboul,Sophie Cluet,Guy Ferran,Marie-Christine Rousset||Computer Networks
793184|Introduction to the User Requirements Notation: learning by example.|Daniel Amyot||Computer Networks
793185|Modeling random early detection in a differentiated services network.|Alhussein A. Abouzeid,Sumit Roy||Computer Networks
793186|Directions in feature interaction research.|Daniel Amyot,Luigi Logrippo||Computer Networks
793187|UIML: An Appliance-Independent XML User Interface Language.|Marc Abrams,Constantinos Phanouriou,Alan L. Batongbacal,Stephen M. Williams,Jonathan E. Shuster||Computer Networks
793188|Generation of test purposes from Use Case Maps.|Daniel Amyot,Luigi Logrippo,Michael Weiss||Computer Networks
793189|Weighted fair bandwidth-on-demand (WFBoD) for geostationary satellite networks with on-board processing.|Güray Açar,Catherine Rosenberg||Computer Networks
793190|A Serial Data Bus Control Method.|Steven C. Andersen||Computer Networks
793194|A performance study of power-saving polices for Wi-Fi hotspots.|Giuseppe Anastasi,Marco Conti,Enrico Gregori,Andrea Passarella||Computer Networks
793196|Barriers to Progress in Telecommunications.|William S. Anderson||Computer Networks
793197|Performance evaluation of a queue fed by a Poisson Pareto burst process.|Ron Addie,Timothy D. Neame,Moshe Zukerman||Computer Networks
793200|Utilizing UML in SDL-based development.|Michael Andersson,Anders Ek,Niklas Landin||Computer Networks
793202|Maintenance of mobile system ambients using a process calculus.|Toshihiko Ando,Kaoru Takahashi,Yasushi Kato,Norio Shiratori||Computer Networks
793203|Phantom: a simple and effective flow control scheme.|Yehuda Afek,Yishay Mansour,Zvi Ostfeld||Computer Networks
