sep=|
841235|A Proof Technique for Concurrency Control and Recovery Algorithms for Replicated Databases.|Philip A. Bernstein,Nathan Goodman||Distributed Computing
841236|A Methodology for Constructing Communication Protocols with Multiple Concurrent Functions.|Huai-An Lin||Distributed Computing
841237|Efficient Detection of Discrepancies in Multiple File Copies.|Khaled A. S. Abdel-Ghaffar,Amr El Abbadi||Distributed Computing
841238|Lower Bounds for the Broadcast Problem in Mobile Radio Networks.|Danilo Bruschi,Massimiliano Del Pinto||Distributed Computing
841239|Byzantine disk paxos: optimal resilience with byzantine shared memory.|Ittai Abraham,Gregory Chockler,Idit Keidar,Dahlia Malkhi||Distributed Computing
841240|On the importance of having an identity or, is consensus really universal?.|Harry Buhrman,Alessandro Panconesi,Riccardo Silvestri,Paul M. B. Vit¨¢nyi||Distributed Computing
841241|Probabilistic quorums for dynamic systems.|Ittai Abraham,Dahlia Malkhi||Distributed Computing
841242|Fast Consensus in Networks of Bounded Degree.|Piotr Berman,Juan A. Garay||Distributed Computing
841243|On the power of shared object types to implement one-resilient Consensus.|Wai-Kau Lo,Vassos Hadzilacos||Distributed Computing
841244|Randomized Function Evaluation on a Ring.|Karl R. Abrahamson,Andrew Adler,Lisa Higham,David G. Kirkpatrick||Distributed Computing
841245|Stabilization and Pseudo-Stabilization.|James E. Burns,Mohamed G. Gouda,Raymond E. Miller||Distributed Computing
841246|Self-Stabilization Over Unreliable Communication Media.|Yehuda Afek,Geoffrey M. Brown||Distributed Computing
841247|Fast and Simple Distributed Consensus.|James E. Burns,Gil Neiger||Distributed Computing
841248|Restoration by path concatenation: fast recovery of MPLS paths.|Yehuda Afek,Anat Bremler-Barr,Haim Kaplan,Edith Cohen,Michael Merritt||Distributed Computing
841249|Exhaustive Analysis and Simulation for Distributed Systems, both Sides of the Same Coin.|Ana R. Cavalli,Etienne Paul||Distributed Computing
841250|On the Comnplexity of Global Computation in the Presence of Link Failures: The General Case.|Yehuda Afek,Danny Hendler||Distributed Computing
