sep=|
841235|
841236|
841237|598092
841237|1061674
841237|1080873
841237|1124521
841237|1124623
841238|92873
841238|610554
841238|971401
841238|971445
841238|1078716
841239|
841240|543606
841240|543717
841240|544058
841240|653601
841240|653701
841240|653865
841240|841530
841240|932614
841240|949949
841240|949603
841240|949953
841240|950782
841240|952501
841240|952503
841241|407879
841241|413375
841241|499998
841241|509557
841241|519685
841241|543562
841241|544043
841241|544342
841241|588943
841241|613169
841241|613102
841241|614529
841241|841470
841241|888794
841241|950383
841241|1060123
841241|1113196
841241|1118712
841241|1125230
841242|267359
841242|544507
841242|621872
841242|950176
841242|951281
841242|1059061
841243|544107
841243|653861
841243|950295
841243|1123599
841244|
841245|740885
841245|771309
841245|1078395
841245|1079448
841245|1123296
841245|1127453
841246|543948
841246|544251
841246|544142
841246|769785
841246|771309
841246|1078395
841246|1079448
841246|1123296
841247|841288
841247|950178
841247|950176
841247|1123702
841248|556879
841248|588611
841248|588844
841248|588668
841248|1122534
841249|
841250|
841251|83
841251|173051
841251|173139
841251|173138
841251|173455
841251|173573
841251|173699
841251|466838
841251|522484
841251|522150
841251|522563
841251|832288
841251|841300
841251|1066764
841251|1123572
841252|
841253|2597
841253|79343
841253|79584
841253|507719
841253|511797
841253|555029
841253|793494
841253|878782
841253|949871
841253|950643
841253|1088694
841253|1094764
841253|1123458
841254|617045
841254|949949
841254|949953
841254|950236
841254|953335
841255|
841256|
841257|
841258|
841259|
841260|2022
841260|210919
841260|543833
841260|614338
841260|622542
841260|653784
841260|949607
841260|950192
841261|137880
841261|201969
841261|254117
841261|408660
841261|653640
841261|654001
841261|772585
841261|772826
841261|773619
841261|806397
841261|929651
841261|933445
841261|1057208
841261|1082131
841261|1089617
841261|1117370
841261|1117449
841261|1117443
841261|1123407
841261|1123656
841261|1128058
841261|3003317
841261|3004653
841262|73
841262|3482
841262|418500
841262|418761
841262|419103
841262|950775
841262|960270
841262|1060071
841262|1078997
841263|244915
841263|533821
841263|653583
841263|653989
841263|773619
841263|841550
841263|1089617
841263|1117370
841263|1123412
841263|1125022
841263|1125021
841264|245907
841264|267359
841264|523731
841264|543875
841264|543766
841264|653866
841264|653977
841264|653870
841264|949578
841264|950295
841264|950234
841264|950288
841264|950783
841264|1081918
841264|1113196
841264|1117618
841264|1123599
841264|1123602
841265|544238
841265|589029
841265|773619
841265|950964
841265|1117544
841265|1128381
841266|
841267|653898
841267|771309
841267|841320
841267|932975
841267|950383
841267|1125589
841268|544485
841268|621227
841268|622911
841268|771305
841268|886905
841268|887441
841268|950295
841268|951281
841268|1117534
841268|1123800
841268|1123599
841269|186111
841269|210321
841269|505745
841269|610242
841269|610270
841269|610554
841269|610925
841269|623232
841269|837253
841269|841238
841269|932874
841269|949655
841269|953265
841269|971401
841269|971445
841269|1060605
841269|1061378
841269|1078716
841269|1122043
841269|1122045
841270|252763
841270|544472
841270|613137
841270|614606
841270|653989
841270|773619
841270|841550
841270|841634
841270|929692
841270|1066630
841270|1113439
841270|1117370
841270|1117631
841270|1117583
841270|1127362
841271|
841272|544016
841272|544248
841272|951281
841272|1058956
841273|2597
841273|531061
841273|544255
841273|620463
841273|626414
841273|771521
841273|930229
841273|1056638
841274|
841275|
841276|210711
841276|543927
841276|544399
841276|622468
841276|653885
841276|653717
841276|952669
841276|1059955
841276|1117581
841277|
841278|53595
841278|53559
841278|53724
841278|220223
841278|296413
841278|543960
841278|599782
841278|613379
841278|653601
841278|653874
841278|653933
841278|773619
841278|807942
841278|832400
841278|833063
841278|841393
841278|887441
841278|949578
841278|949949
841278|949953
841278|950168
841278|950295
841278|950236
841278|950783
841278|1094102
841278|1113196
841278|1117418
841278|1117536
841278|1117372
841278|1123702
841278|1123599
841278|1341681
841279|
841280|544485
841280|610595
841280|614189
841280|621891
841280|622682
841280|622911
841280|771305
841280|773401
841280|773613
