sep=	
"3003478"	""
"3005557"	""
"3005393"	""
"3004976"	""
"3006606"	""
"3006992"	""
"907547"	"396035"
"907547"	"835253"
"907547"	"907794"
"907547"	"907838"
"907547"	"908413"
"907547"	"1339403"
"907548"	"168549"
"907548"	"168634"
"907548"	"835007"
"907548"	"907742"
"907548"	"907740"
"907549"	"17886"
"907549"	"908258"
"907549"	"908290"
"907549"	"908407"
"907549"	"908275"
"907549"	"1031572"
"907549"	"1031757"
"907549"	"1032197"
"907549"	"1032556"
"907549"	"3077282"
"907550"	"168230"
"907550"	"320583"
"907550"	"515036"
"907550"	"771673"
"907550"	"834834"
"907550"	"835074"
"907550"	"908279"
"907550"	"908385"
"907550"	"908373"
"907550"	"908478"
"907550"	"949579"
"907550"	"1031205"
"907550"	"1031267"
"907550"	"1031067"
"907550"	"1031575"
"907550"	"1031687"
"907550"	"1031728"
"907550"	"1032299"
"907551"	"17957"
"907551"	"127582"
"907551"	"128140"
"907551"	"128473"
"907551"	"129148"
"907551"	"129259"
"907551"	"168457"
"907551"	"168668"
"907551"	"169210"
"907551"	"169373"
"907551"	"293491"
"907551"	"594008"
"907551"	"835143"
"907551"	"908458"
"907551"	"1032906"
"907551"	"1339365"
"907552"	""
"907553"	""
"907554"	"127379"
"907554"	"127784"
"907554"	"127785"
"907554"	"168317"
"907554"	"168222"
"907554"	"169149"
"907554"	"292815"
"907554"	"293271"
"907554"	"293469"
"907554"	"593407"
"907554"	"834952"
"907554"	"908311"
"907554"	"908396"
"907554"	"908431"
"907554"	"919912"
"907554"	"1031535"
"907554"	"1032141"
"907554"	"1032285"
"907554"	"1032427"
"907554"	"1032252"
"907554"	"1032704"
"907554"	"1032703"
"907554"	"1033164"
"907554"	"3077321"
"907554"	"3077275"
"907555"	"169373"
"907555"	"593557"
"907555"	"908444"
"907555"	"1033316"
"907555"	"1033473"
"907555"	"3002942"
"907556"	"515386"
"907556"	"515677"
"907556"	"516217"
"907556"	"908308"
"907557"	"128158"
"907557"	"593235"
"907557"	"1031851"
"907558"	"205448"
"907558"	"293432"
"907558"	"1009356"
"907559"	"127619"
"907559"	"168687"
"907559"	"292803"
"907559"	"293512"
"907559"	"293624"
"907559"	"834881"
"907559"	"1032041"
"907560"	"70470"
"907560"	"168317"
"907560"	"293243"
"907560"	"593041"
"907560"	"593185"
"907560"	"593407"
"907560"	"593141"
"907560"	"593592"
"907560"	"593604"
"907560"	"593970"
"907560"	"593879"
"907560"	"648153"
"907560"	"908347"
"907560"	"1228851"
"907560"	"3053728"
"907561"	"127434"
"907561"	"127923"
"907561"	"168479"
"907561"	"835040"
"907561"	"908372"
"907561"	"908407"
"907561"	"908355"
"907561"	"908402"
"907561"	"908636"
"907561"	"1031625"
"907561"	"1032197"
"907561"	"1033182"
"907561"	"1033527"
"907561"	"1033567"
"907561"	"1044485"
"907561"	"3003835"
"907562"	"744475"
"907563"	"2137"
"907563"	"18012"
"907563"	"169126"
"907563"	"628002"
"907563"	"745601"
"907563"	"745567"
"907563"	"833797"
"907563"	"834848"
"907563"	"908425"
"907563"	"908281"
"907563"	"908523"
"907563"	"908347"
"907563"	"1031878"
"907563"	"1033021"
"907563"	"1032919"
"907563"	"1339407"
"907563"	"3077377"
"907563"	"3077299"
"907564"	""
"907565"	""
"907566"	""
"907567"	"128803"
"907567"	"168361"
"907567"	"168673"
"907567"	"168671"
"907567"	"169300"
"907567"	"293467"
"907567"	"834810"
"907567"	"907685"
"907567"	"907730"
"907567"	"908593"
"907567"	"908325"
"907567"	"1031908"
"907567"	"1032543"
"907567"	"1032734"
"907567"	"1033061"
"907568"	""
"907569"	"127731"
"907569"	"129059"
"907569"	"168488"
"907569"	"169109"
"907569"	"293119"
"907569"	"593236"
"907569"	"771673"
"907569"	"834887"
"907569"	"835464"
"907569"	"908195"
"907569"	"908535"
"907569"	"908527"
"907569"	"1030972"
"907569"	"1032324"
"907569"	"1032979"
"907569"	"1033515"
"907569"	"3004342"
"907569"	"3077397"
"907570"	""
"907571"	"73460"
"907571"	"128124"
"907571"	"168206"
"907571"	"168247"
"907571"	"168679"
"907571"	"205341"
"907571"	"205517"
"907571"	"619061"
"907571"	"832398"
"907571"	"834912"
"907571"	"908416"
"907571"	"908507"
"907571"	"920014"
"907571"	"1030975"
"907571"	"1031563"
"907571"	"1031881"
"907571"	"1032093"
"907571"	"1032704"
