sep=	
"793168"	""
"793169"	"588451"
"793169"	"1141036"
"793169"	"588694"
"793170"	"1036824"
"793170"	"1122244"
"793170"	"1122385"
"793170"	"1122703"
"793170"	"1122881"
"793171"	""
"793172"	""
"793175"	""
"793176"	""
"793177"	""
"793179"	"488544"
"793179"	"807361"
"793179"	"985371"
"793179"	"996542"
"793180"	""
"793181"	""
"793182"	""
"793183"	""
"793184"	"118406"
"793184"	"1099051"
"793184"	"1127648"
"793185"	"588845"
"793185"	"793718"
"793185"	"1122066"
"793185"	"1122144"
"793185"	"1122143"
"793185"	"1122359"
"793185"	"1122338"
"793185"	"1122605"
"793185"	"3537943"
"793185"	"588694"
"793186"	"793605"
"793186"	"793883"
"793186"	"1128586"
"793187"	""
"793188"	"79423"
"793188"	"112789"
"793188"	"471408"
"793188"	"555461"
"793188"	"555256"
"793188"	"557147"
"793188"	"662117"
"793188"	"793184"
"793188"	"793605"
"793188"	"795548"
"793188"	"1127648"
"793189"	"1122837"
"793190"	""
"793194"	"243280"
"793194"	"296761"
"793194"	"505609"
"793194"	"505686"
"793194"	"505685"
"793194"	"512950"
"793194"	"596938"
"793194"	"666870"
"793194"	"772992"
"793194"	"806417"
"793194"	"1012586"
"793194"	"1012687"
"793194"	"1036438"
"793194"	"1114189"
"793194"	"1121980"
"793194"	"1141125"
"793194"	"1141310"
"793194"	"1141826"
"793194"	"3537943"
"793194"	"3544679"
"793196"	""
"793197"	"400909"
"793197"	"401640"
"793197"	"1037223"
"793197"	"1048283"
"793197"	"1122087"
"793197"	"1122422"
"793197"	"1122628"
"793197"	"1122779"
"793197"	"1122818"
"793200"	""
"793202"	""
"793203"	""
"793204"	""
"793206"	""
"793207"	""
"793208"	""
"793209"	""
"793211"	""
"793212"	""
"793213"	"1117449"
"793214"	"588591"
"793214"	"588726"
"793214"	"1011087"
"793214"	"1011451"
"793215"	"472688"
"793215"	"597945"
"793215"	"597975"
"793215"	"641831"
"793215"	"641833"
"793216"	"396821"
"793216"	"396859"
"793216"	"396865"
"793216"	"556505"
"793216"	"588697"
"793216"	"596958"
"793216"	"1122087"
"793216"	"1122299"
"793216"	"1122619"
"793216"	"1122613"
"793216"	"1122628"
"793217"	""
"793218"	""
"793220"	""
"793221"	"505646"
"793221"	"588834"
"793221"	"617080"
"793221"	"665057"
"793222"	""
"793223"	"402043"
"793223"	"505628"
"793223"	"505610"
"793223"	"588666"
"793223"	"588834"
"793223"	"665057"
"793223"	"1012783"
"793227"	"525293"
"793228"	"338626"
"793228"	"588494"
"793228"	"1122359"
"793228"	"1122605"
"793229"	""
"793230"	"245313"
"793230"	"296917"
"793230"	"402037"
"793230"	"490023"
"793230"	"505607"
"793230"	"505537"
"793230"	"505658"
"793230"	"505639"
"793230"	"505606"
"793230"	"505829"
"793230"	"506400"
"793230"	"645573"
"793230"	"646066"
"793230"	"775197"
"793230"	"793221"
"793230"	"793249"
"793230"	"807821"
"793230"	"1052557"
"793230"	"1122632"
"793230"	"2872232"
"793231"	"466059"
"793231"	"588768"
"793231"	"588845"
"793231"	"783985"
"793231"	"1122144"
"793232"	""
"793233"	"53671"
"793233"	"502578"
"793233"	"505416"
"793233"	"505793"
"793233"	"505792"
"793233"	"505720"
"793233"	"588419"
"793233"	"588628"
"793233"	"588450"
"793233"	"588813"
"793233"	"588886"
"793233"	"666790"
"793233"	"793249"
"793233"	"1121909"
"793233"	"1121980"
"793233"	"1121915"
"793233"	"1122116"
"793233"	"1141124"
"793233"	"613209"
"793233"	"588694"
"793234"	""
"793236"	""
"793239"	""
"793240"	""
"793241"	""
"793243"	""
"793244"	""
"793245"	""
"793246"	"275743"
"793246"	"588450"
"793246"	"588783"
"793246"	"1122147"
"793248"	""
"793249"	"245313"
"793249"	"296376"
"793249"	"345659"
"793249"	"436637"
"793249"	"437047"
"793249"	"445984"
"793249"	"505607"
"793249"	"505710"
"793249"	"505786"
"793249"	"505537"
"793249"	"505732"
"793249"	"505575"
"793249"	"505792"
"793249"	"505658"
"793249"	"505825"
"793249"	"505829"
"793249"	"505723"
"793249"	"505773"
"793249"	"771520"
"793249"	"775197"
"793249"	"805602"
"793249"	"807821"
"793249"	"808425"
"793249"	"858540"
"793249"	"1082972"
"793249"	"1333500"
"793249"	"3006048"
"793249"	"613209"
"793249"	"505754"
"793250"	"282724"
"793250"	"360118"
"793251"	"35457"
"793251"	"68750"
"793251"	"338486"
"793251"	"400899"
"793251"	"481810"
"793251"	"505527"
"793251"	"505600"
"793251"	"505620"
"793251"	"505634"
"793251"	"505684"
"793251"	"505621"
"793251"	"505699"
"793251"	"505651"
"793251"	"505652"
"793251"	"505544"
"793251"	"505841"
"793251"	"506431"
"793251"	"506444"
"793251"	"506488"
"793251"	"506450"
"793251"	"506429"
"793251"	"588430"
"793251"	"588587"
"793251"	"659264"
"793251"	"667438"
"793251"	"793249"
"793251"	"989795"
"793251"	"1012521"
"793251"	"1064430"
"793251"	"1064291"
"793251"	"1114315"
"793251"	"1121899"
"793251"	"1121966"
"793251"	"1121983"
"793251"	"1122198"
"793251"	"1122459"
"793251"	"1140968"
"793251"	"1141071"
"793253"	"1122041"
"793253"	"1122143"
"793254"	""
"793256"	"338339"
"793256"	"409136"
"793256"	"588904"
"793256"	"783906"
"793256"	"1012877"
"793257"	""
"793258"	"481629"
"793258"	"505565"
"793258"	"505732"
"793258"	"505743"
"793258"	"505815"
"793258"	"506338"
"793258"	"506405"
"793258"	"506442"
"793258"	"588533"
"793258"	"1103883"
"793258"	"588694"
"793259"	""
"793261"	"771251"
"793261"	"794715"
"793261"	"3006783"
"793262"	""
"793264"	""
"793265"	""
"793266"	""
"793267"	""
"793268"	""
"793269"	"338458"
"793270"	""
"793272"	""
"793273"	"1122155"
"793273"	"3006912"
"793275"	""
"793276"	""
"793277"	""
"793278"	""
"793279"	""
"793281"	""
"793282"	""
"793283"	""
"793285"	""
"793286"	"296378"
"793286"	"296376"
"793286"	"401300"
"793286"	"505793"
"793286"	"588434"
"793286"	"597340"
"793286"	"1121980"
"793288"	"135"
"793288"	"505607"
"793288"	"505658"
"793288"	"506542"
"793288"	"510040"
"793288"	"1141297"
"793289"	""
"793290"	""
"793291"	""
"793292"	""
"793293"	""
"793295"	""
"793296"	"505550"
"793296"	"588694"
"793296"	"588451"
"793296"	"588981"
"793296"	"588798"
"793297"	""
"793299"	""
"793300"	""
"793301"	""
"793302"	"588451"
"793302"	"588628"
"793302"	"588798"
"793302"	"588845"
"793302"	"596866"
"793302"	"596808"
"793302"	"1122340"
"793302"	"1122605"
"793303"	""
"793304"	"588451"
"793304"	"783997"
"793304"	"793718"
"793305"	"540402"
"793305"	"588477"
"793305"	"588663"
"793305"	"588753"
"793305"	"588937"
"793305"	"588938"
"793305"	"610458"
"793305"	"816624"
"793306"	"588451"
"793306"	"588798"
"793306"	"1036421"
"793306"	"3537943"
"793306"	"588694"
"793308"	"950265"
"793309"	""
"793310"	"988247"
"793310"	"1036419"
"793310"	"1122074"
"793310"	"1122595"
"793311"	""
"793312"	"519454"
"793312"	"588544"
"793313"	""
"793315"	"505677"
"793315"	"776662"
"793315"	"1122445"
"793315"	"1122475"
"793315"	"1141114"
"793315"	"1141143"
"793315"	"1141401"
"793315"	"1141265"
"793318"	"298611"
"793318"	"505717"
"793318"	"584297"
"793318"	"584309"
"793318"	"584501"
"793318"	"584483"
"793318"	"806957"
"793318"	"988683"
"793318"	"1008461"
"793318"	"1078014"
"793319"	""
"793321"	""
"793323"	""
"793324"	""
"793325"	""
"793326"	"163"
"793326"	"10161"
"793326"	"53804"
"793326"	"112715"
"793326"	"341609"
"793326"	"553646"
"793326"	"928576"
"793326"	"1081320"
"793326"	"1120518"
"793328"	""
"793330"	""
"793331"	"3007117"
"793332"	""
"793333"	""
"793334"	"556795"
"793334"	"588426"
"793334"	"588798"
"793334"	"588633"
"793334"	"596867"
"793334"	"596861"
"793335"	"399984"
"793335"	"505533"
"793335"	"505732"
"793335"	"1122414"
"793335"	"1141292"
"793336"	""
"793337"	""
"793339"	""
"793340"	""
"793342"	""
"793345"	"794334"
"793345"	"1122132"
"793346"	""
"793347"	""
"793348"	""
"793349"	""
"793350"	"793718"
"793350"	"1122143"
"793350"	"1333380"
"793351"	"396873"
"793351"	"400720"
"793351"	"402063"
"793351"	"588633"
"793351"	"793197"
"793351"	"793499"
"793351"	"1122119"
"793351"	"1122087"
"793351"	"1122628"
"793352"	"588628"
"793352"	"588798"
"793352"	"793718"
"793352"	"1122304"
"793352"	"1122143"
"793352"	"1333380"
"793352"	"588694"
"793353"	""
"793354"	""
"793355"	""
"793357"	""
"793358"	""
"793359"	"505222"
"793359"	"505416"
"793359"	"505720"
"793359"	"588628"
"793359"	"588750"
"793359"	"588798"
"793360"	""
"793361"	""
"793362"	""
"793363"	""
"793365"	""
"793366"	""
"793367"	"155416"
"793367"	"243869"
"793367"	"402043"
"793367"	"408251"
"793367"	"505610"
"793367"	"505767"
"793367"	"588834"
"793367"	"665107"
"793367"	"665057"
"793367"	"772994"
"793367"	"806714"
"793367"	"1141088"
"793367"	"1141083"
"793368"	"245313"
"793368"	"445688"
"793368"	"505639"
"793368"	"505829"
"793368"	"775197"
"793368"	"792891"
"793368"	"793249"
"793368"	"808425"
"793368"	"1141190"
"793370"	"338380"
"793370"	"400082"
"793370"	"499998"
"793370"	"588502"
"793370"	"588665"
"793370"	"588720"
"793370"	"588880"
"793370"	"588943"
"793370"	"597003"
"793370"	"613050"
"793370"	"1122863"
"793371"	""
"793372"	""
"793373"	"82726"
"793373"	"338531"
"793373"	"398854"
"793373"	"514067"
"793373"	"519605"
"793373"	"519685"
"793373"	"588502"
"793373"	"597003"
"793373"	"597640"
"793373"	"621464"
"793376"	""
"793377"	"2022"
"793377"	"338475"
"793377"	"597266"
"793377"	"934361"
"793377"	"950462"
"793381"	""
"793383"	"119844"
"793383"	"210309"
"793383"	"211219"
"793383"	"621721"
