sep=	
743424	A strategy for acquiring customer requirement patterns using laddering technique and ART2 neural network.	Chun-Hsien Chen,Li Pheng Khoo,Wei Yan		Advanced Engineering Informatics
743428	Optimal delay estimation using complete bipartite graph method for VoIP over WLAN environments.	Reu-Ching Chen,Wei-Tsong Lee,Jim-Min Lin		Advanced Engineering Informatics
743429	A new effective heuristic for the intelligent management of the preventive maintenance tasks of the distributed systems.	Kossi P. Adzakpa,Kondo H. Adjallah,Jay Lee		Advanced Engineering Informatics
743430	A question answering system for project management applications.	Jinxing Cheng,Bimal Kumar,Kincho H. Law		Advanced Engineering Informatics
743431	Handwritten Indian numerals recognition system using probabilistic neural networks.	Faruq A. Al-Omari,Omar M. Al-Jarrah		Advanced Engineering Informatics
743432	Monitoring bridge health using fuzzy case-based reasoning.	Yousheng Cheng,Hani G. Melhem		Advanced Engineering Informatics
743434	Constraint-handling in genetic algorithms through the use of dominance-based tournament selection.	Carlos A. Coello Coello,Efrén Mezura-Montes		Advanced Engineering Informatics
743448	An Evolutionary Parallel Tabu Search approach for distribution systems reinforcement planning.	Antonino Augugliaro,Luigi Dusonchet,Eleonora Riva Sanseverino		Advanced Engineering Informatics
743455	Reinforcement learning in a distributed market-based production control system.	Balázs Csanád Csáji,László Monostori,Botond Kádár		Advanced Engineering Informatics
743458	Usable autonomic computing systems: The system administrators' perspective.	Rob Barrett,Paul P. Maglio,Eser Kandogan,John H. Bailey		Advanced Engineering Informatics
743464	Ant colony optimization techniques for the vehicle routing problem.	John E. Bell,Patrick R. McMullen		Advanced Engineering Informatics
743469	Watchdog Agent - an infotronics-based prognostics approach for product performance degradation assessment and prediction.	Dragan Djurdjanovic,Jay Lee,Jun Ni		Advanced Engineering Informatics
743481	A collaborative approach to assembly sequence planning.	Tianyang Dong,Ruofeng Tong,Ling Zhang,Jinxiang Dong		Advanced Engineering Informatics
743489	Interoperability in enterprise modelling: requirements and roadmap.	Yves Ducq,David Chen,Bruno Vallespir		Advanced Engineering Informatics
743502	Construction site image retrieval based on material cluster recognition.	Ioannis K. Brilakis,Lucio Soibelman,Yoshihisa Shinagawa		Advanced Engineering Informatics
743503	Assisting conceptual design of building structures by an interactive description logic based planner.	Michael Eisfeld,Raimar Scherer		Advanced Engineering Informatics
743504	A Web-enabled virtual repository for supporting distributed automotive component development.	Dave Brown,David Leal,Chris A. McMahon,Rose Crossland,Janardan Devlukia		Advanced Engineering Informatics
743505	Comparison among five evolutionary-based optimization algorithms.	Emad Elbeltagi,Tarek Hegazy,Donald E. Grierson		Advanced Engineering Informatics
743520	Recurrent neuro-fuzzy system for fault detection and isolation in nuclear reactors.	Alexandre Evsukoff,Sylviane Gentil		Advanced Engineering Informatics
743521	Dynamic structuring of distributed manufacturing systems.	Peter Butala,Alojzij Sluga		Advanced Engineering Informatics
743522	A hayekian self-organization approach to service allocation in computing systems.	Torsten Eymann,Michael Reinicke,Felix Freitag,Leandro Navarro,Oscar Ardaiz,Pau Artigas		Advanced Engineering Informatics
743527	Evolutionary approach for solving cell-formation problem in cell manufacturing.	Zlatan Car,Tonci Mikac		Advanced Engineering Informatics
743529	Self-adaptive middleware: Supporting business process priorities and service level agreements.	Yves Caseau		Advanced Engineering Informatics
743532	Crowded comparison operators for constraints handling in NSGA-II for optimal design of the compensation system in electrical distribution networks.	Salvatore Favuzza,Mariano Giuseppe Ippolito,Eleonora Riva Sanseverino		Advanced Engineering Informatics
743543	Manufacturing planning and predictive process model integration using software agents.	Shaw C. Feng,Keith A. Stouffer,Kevin K. Jurrens		Advanced Engineering Informatics
743548	Neural network model adaptation and its application to process control.	Thoonkhin Chang,Ding-Li Yu,Ding-Wen Yu		Advanced Engineering Informatics
743559	Industrial neural vision system for underground railway station platform surveillance.	Tommy W. S. Chow,Siu-Yeung Cho		Advanced Engineering Informatics
743562	Artificial neural networks for job shop simulation.	Daniel J. Fonseca,Daniel Navaresse		Advanced Engineering Informatics
743563	N - an agent-based negotiation algorithm for dynamic scheduling andn rescheduling.	Hon Wai Chun,Rebecca Y. M. Wong		Advanced Engineering Informatics
743566	A machine learning approach for the support of preliminary structural design.	Mark Freischlad,Martina Schnellenbach-Held		Advanced Engineering Informatics
743571	A comparison of Kernel methods for instantiating case based reasoning systems.	Colin Fyfe,Juan M. Corchado		Advanced Engineering Informatics
743575	Research issues on product lifecycle management and information tracking using smart embedded systems.	Dimitris Kiritsis,Ahmed Bufardi,Paul C. Xirouchakis		Advanced Engineering Informatics
743576	Building a project ontology with extreme collaboration and virtual design and construction.	Ana Cristina Bicharra Garcia,John C. Kunz,Martin Ekstrom,Arto Kiviniemi		Advanced Engineering Informatics
