sep=	
"743424"	""
"743428"	""
"743429"	""
"743430"	""
"743431"	""
"743432"	"746412"
"743434"	""
"743448"	""
"743455"	""
"743458"	"121622"
"743458"	"635878"
"743458"	"806957"
"743458"	"892618"
"743464"	""
"743469"	""
"743481"	"593470"
"743481"	"648047"
"743481"	"771100"
"743481"	"806191"
"743481"	"807965"
"743481"	"929030"
"743489"	"373530"
"743489"	"381600"
"743489"	"3006472"
"743502"	""
"743503"	""
"743504"	"212663"
"743504"	"583590"
"743504"	"743951"
"743504"	"807461"
"743504"	"845741"
"743504"	"846086"
"743504"	"846207"
"743504"	"846236"
"743504"	"874171"
"743504"	"1118731"
"743505"	"140"
"743505"	"182637"
"743520"	"3355701"
"743521"	""
"743522"	"92630"
"743522"	"588880"
"743522"	"769752"
"743522"	"776674"
"743522"	"792798"
"743522"	"795193"
"743522"	"806957"
"743522"	"816207"
"743522"	"952293"
"743522"	"952298"
"743522"	"1129764"
"743527"	""
"743529"	"117142"
"743529"	"616857"
"743529"	"892020"
"743532"	""
"743543"	""
"743548"	""
"743559"	""
"743562"	""
"743563"	""
"743566"	"310643"
"743566"	"3005879"
"743571"	""
"743575"	""
"743576"	"390453"
"743576"	"747727"
"743576"	"774053"
"743579"	"380861"
"743579"	"380906"
"743579"	"387708"
"743579"	"390453"
"743579"	"745243"
"743579"	"745333"
"743579"	"745247"
"743579"	"745234"
"743579"	"746894"
"743579"	"747727"
"743579"	"747577"
"743579"	"806009"
"743579"	"806191"
"743579"	"874965"
"743579"	"875508"
"743579"	"911963"
"743581"	""
"743582"	"745243"
"743582"	"745138"
"743582"	"746578"
"743582"	"816280"
"743582"	"875266"
"743582"	"912273"
"743582"	"952165"
"743582"	"3355181"
"743582"	"3355430"
"743591"	""
"743594"	"199968"
"743594"	"390453"
"743594"	"744829"
"743594"	"806009"
"743594"	"912028"
"743601"	""
"743603"	""
"743607"	"122015"
"743607"	"147594"
"743607"	"237361"
"743607"	"774337"
"743607"	"1116895"
"743607"	"1117008"
"743617"	""
"743619"	""
"743621"	""
"743622"	""
"743623"	""
"743625"	""
"743626"	"166663"
"743626"	"373995"
"743626"	"806191"
"743626"	"1073529"
"743636"	"76949"
"743636"	"289981"
"743636"	"979746"
"743636"	"1128949"
"743637"	""
"743639"	""
"743645"	"390749"
"743645"	"593852"
"743645"	"757719"
"743645"	"757758"
"743645"	"757773"
"743645"	"757828"
"743645"	"757829"
"743645"	"757759"
"743645"	"757964"
"743645"	"757834"
"743645"	"757833"
"743645"	"757949"
"743645"	"757874"
"743645"	"757756"
"743645"	"757899"
"743645"	"757922"
"743645"	"757941"
"743645"	"757780"
"743645"	"757988"
"743645"	"757962"
"743645"	"832757"
"743645"	"920007"
"743647"	"598088"
"743647"	"846232"
"743647"	"1118367"
"743649"	"1026063"
"743649"	"1026770"
"743649"	"1026768"
"743649"	"1027325"
"743649"	"1027436"
"743649"	"1080590"
"743651"	""
"743655"	"27242"
"743655"	"390125"
"743655"	"794971"
"743655"	"892856"
