sep=	
831529	``It's Just a Matter of Common Sense'': Ethnography as Invisible Work.	Diana E. Forsythe		Computer Supported Cooperative Work
831530	Discovering Social Networks from Event Logs.	Wil M. P. van der Aalst,Hajo A. Reijers,Minseok Song		Computer Supported Cooperative Work
831531	Alan J. Munro, Kristina Höök and David Benyon (eds.), Social Navigation of Information Space - Review.	Mike Fraser		Computer Supported Cooperative Work
831532	The Camera as an Actor Design-in-Use of Telemedicine Infrastructure in Surgery.	Margunn Aanestad		Computer Supported Cooperative Work
831533	Remote Collaboration Over Video Data: Towards Real-Time e-Social Science.	Mike Fraser,Jon Hindmarsh,Katie Best,Christian Heath,Greg Biegel,Chris Greenhalgh,Stuart Reeves		Computer Supported Cooperative Work
831534	Organizational Memory as Objects, Processes, and Trajectories: An Examination of Organizational Memory in Use.	Mark S. Ackerman,Christine Halverson		Computer Supported Cooperative Work
831535	Participatory Design in Consulting.	Johannes Gärtner		Computer Supported Cooperative Work
831536	A Light Workflow Management System Using Simple Process Models.	Alessandra Agostini,Giorgio De Michelis		Computer Supported Cooperative Work
831537	A Tale of Two Toolkits: Relating Infrastructure and Use in Flexible CSCW Toolkits.	Paul Dourish,W. Keith Edwards		Computer Supported Cooperative Work
831538	Introduction.			Computer Supported Cooperative Work
831539	Contexts, Work Processes, and Workspaces.	Alessandra Agostini,Giorgio De Michelis,Maria Antonietta Grasso,Wolfgang Prinz,Anja Syri		Computer Supported Cooperative Work
831540	Enterprise-Level Groupware Choices: Evaluating Lotus Notes and Intranet-Based Solutions.	Mark Ginsburg,Katherine Duliba		Computer Supported Cooperative Work
831541	From High Tech to Human Tech: Empowerment, Measurement, and Social Studies of Computing.	Philip E. Agre		Computer Supported Cooperative Work
831542	Your Place or Mine? Learning from Long-Term Use of Audio-Video Communication.	Paul Dourish,Annette Adler,Victoria Bellotti,D. Austin Henderson Jr.		Computer Supported Cooperative Work
831543	Boundary Negotiating Artifacts: Unbinding the Routine of Boundary Objects and Embracing Chaos in Collaborative Work.	Charlotte P. Lee		Computer Supported Cooperative Work
831544	Introduction to Special Issue on Evolving Use of Groupware.	J. H. Erik Andriessen,Marike Hettinga,Volker Wulf		Computer Supported Cooperative Work
831545	The Effects of a "Distinct Window" Screen Design on Computer-Mediated Group Decision Making.	Vitaly Dubrovsky,Danial Clapper,Monali Ullal		Computer Supported Cooperative Work
831546	An Operational Transformation Algorithm and Performance Evaluation.	Du Li,Rui Li		Computer Supported Cooperative Work
831547	Time, Technology and Groups: An Integration.	Holly Arrow,Jennifer L. Berdahl,Kelly S. Bouas,Kellina M. Craig,Anne Cummings,Linda Lebie,Joseph E. McGrath,Kathleen M. O'Connor,Jonathan A. Rhoades,Ann Schlosser		Computer Supported Cooperative Work
831548	Design Tools and Framing Practices.	Friedrich Glock		Computer Supported Cooperative Work
831549	Comparing Collaborative Drawing Tools and Whiteboards: An Analysis of the Group Process.	Kregg Aytes		Computer Supported Cooperative Work
831550	Distributed Coordination and Workflow on the World Wide Web.	Antonietta Grasso,Jean-Luc Meunier,Daniele Pagani,Remo Pareschi		Computer Supported Cooperative Work
831551	Media Production: Towards Creative Collaboration Using Communication Networks.	Ellen Baker,John Geirland,Tom Fisher,Annmarie Chandler		Computer Supported Cooperative Work
831552	Workflow Systems: Occasions for Success and Failure.	Rebecca E. Grinter		Computer Supported Cooperative Work
831553	Sensemaking in Technology-Use Mediation: Adapting Groupware Technology in Organizations.	Jorgen P. Bansler,Erling C. Havn		Computer Supported Cooperative Work
831554	Recomposition: Coordinating a Web of Software Dependencies.	Rebecca E. Grinter		Computer Supported Cooperative Work
831555	Temporal Coordination - On Time and Coordination of Collaborative Activities at a Surgical Department.	Jakob Bardram		Computer Supported Cooperative Work
831556	Words about Images: Coordinating Community in Amateur Photography.	Rebecca E. Grinter		Computer Supported Cooperative Work
831557	Mobility Work: The Spatial Dimension of Collaboration at a Hospital.	Jakob Bardram,Claus Bossen		Computer Supported Cooperative Work
831558	Supporting Public Availability and Accessibility with Elvin: Experiences and Reflections.	Geraldine Fitzpatrick,Simon M. Kaplan,Tim Mansfield,David B. Arnold,Bill Segall		Computer Supported Cooperative Work
831559	A View of Software Development Environments Based on Activity Theory.	Paulo Barthelmess,Kenneth M. Anderson		Computer Supported Cooperative Work
831560	Supporting Articulation Work Using Software Configuration Management Systems.	Rebecca E. Grinter		Computer Supported Cooperative Work
831561	Synchronizations in Team Automata for Groupware Systems.	Maurice H. ter Beek,Clarence A. Ellis,Jetty Kleijn,Grzegorz Rozenberg		Computer Supported Cooperative Work
831562	Informing General CSCW Product Development through Cooperative Design in Specific Work Domains.	Kaj Grønbæk,Preben Mogensen		Computer Supported Cooperative Work
831563	The World Wide Web as Enabling Technology for CSCW: The Case of BSCW.	Richard Bentley,Thilo C. Horstmann,Jonathan Trevor		Computer Supported Cooperative Work
831564	Modelling Shared Contexts in Cooperative Environments: Concept, Implementation, and Evaluation.	Tom Gross,Wolfgang Prinz		Computer Supported Cooperative Work
831565	Equality of Participation and Influence in Groups: The Effects of Communication Medium and Sex Composition.	Jennifer L. Berdahl,Kellina M. Craig		Computer Supported Cooperative Work
831566	Collaborative Writing in Multiple Discourse Contexts.	Sibylle Gruber,Joy Kreeft Peyton,Bertram C. Bruce		Computer Supported Cooperative Work
831567	Accumulating and Coordinating: Occasions for Information Technologies in Medical Work.	Marc Berg		Computer Supported Cooperative Work
831568	Book Review: Public and Situated Displays: Social and Interactional Aspects of Shared Display Technologies, Kenton O'Hara, Mark Perry, Elizabeth Churchill and Daniel Russell (eds.), The Kluwer International Series on Computer Supported Cooperative Work, 2003, 456 pp, ISBN 1-4020-1677-8.	Carl Gutwin		Computer Supported Cooperative Work
831569	Visualizing Common Artefacts to Support Awareness in Computer-Mediated Cooperation.	Thomas Berlage,Markus Sohlenkamp		Computer Supported Cooperative Work
831570	Socialization in an Open Source Software Community: A Socio-Technical Analysis.	Nicolas Ducheneaut		Computer Supported Cooperative Work
831571	A Collaborative Schema Integration System.	Paul Beynon-Davies,L. Bonde,D. McPhee,C. B. Jones		Computer Supported Cooperative Work
831572	A Descriptive Framework of Workspace Awareness for Real-Time Groupware.	Carl Gutwin,Saul Greenberg		Computer Supported Cooperative Work
831573	Visible and Invisible Work: The Emerging Post-Industrial Employment Relation.	Libby Bishop		Computer Supported Cooperative Work
831574	Activity Theory and Distributed Cognition: Or What Does CSCW Need to DO with Theories?	Christine Halverson		Computer Supported Cooperative Work
831575	Preface.	Jeanette Blomberg,Finn Kensing		Computer Supported Cooperative Work
