sep=	
"831529"	""
"831530"	"88264"
"831530"	"121634"
"831530"	"176198"
"831530"	"177227"
"831530"	"244732"
"831530"	"642166"
"831530"	"771483"
"831530"	"774547"
"831530"	"831786"
"831530"	"845481"
"831530"	"1112310"
"831530"	"1124267"
"831530"	"3004549"
"831530"	"3005528"
"831531"	""
"831532"	""
"831533"	"88381"
"831533"	"88514"
"831533"	"88731"
"831533"	"89006"
"831533"	"121679"
"831533"	"121759"
"831533"	"121685"
"831533"	"121835"
"831533"	"633965"
"831533"	"770167"
"831533"	"831556"
"831533"	"831612"
"831533"	"831722"
"831533"	"1116922"
"831533"	"1116943"
"831533"	"1117008"
"831534"	""
"831535"	"770695"
"831536"	""
"831537"	""
"831538"	""
"831539"	""
"831540"	"121614"
"831540"	"121684"
"831540"	"121927"
"831540"	"245061"
"831540"	"246846"
"831540"	"771483"
"831540"	"831563"
"831540"	"1103379"
"831541"	""
"831542"	""
"831543"	"87682"
"831543"	"121827"
"831543"	"121975"
"831543"	"121802"
"831543"	"174835"
"831543"	"237274"
"831543"	"326860"
"831543"	"831654"
"831543"	"831732"
"831543"	"831731"
"831543"	"936778"
"831543"	"1047088"
"831544"	"121659"
"831544"	"121754"
"831544"	"121890"
"831544"	"121954"
"831545"	""
"831546"	"87449"
"831546"	"112663"
"831546"	"116161"
"831546"	"121596"
"831546"	"121621"
"831546"	"121763"
"831546"	"121719"
"831546"	"121916"
"831546"	"122003"
"831546"	"121958"
"831546"	"121960"
"831546"	"122038"
"831546"	"122015"
"831546"	"301192"
"831546"	"341263"
"831546"	"598576"
"831546"	"771483"
"831546"	"831572"
"831546"	"831697"
"831546"	"831814"
"831546"	"833085"
"831546"	"894045"
"831546"	"929296"
"831546"	"1116895"
"831546"	"1117008"
"831546"	"1126148"
"831547"	""
"831548"	"748948"
"831548"	"831567"
"831548"	"831601"
"831549"	""
"831550"	"121673"
"831550"	"121616"
"831550"	"121716"
"831550"	"173489"
"831550"	"174767"
"831550"	"174800"
"831550"	"237120"
"831550"	"237363"
"831550"	"771483"
"831550"	"831563"
"831550"	"831540"
"831550"	"911905"
"831550"	"1077732"
"831551"	""
"831552"	"87792"
"831552"	"121581"
"831552"	"121614"
"831552"	"121616"
"831552"	"121739"
"831552"	"121856"
"831552"	"121927"
"831552"	"174741"
"831552"	"174819"
"831552"	"174767"
"831552"	"174803"
"831552"	"174896"
"831552"	"237161"
"831552"	"772471"
"831552"	"772474"
"831552"	"831560"
"831552"	"1103379"
"831552"	"1103325"
"831552"	"1129189"
"831552"	"3004192"
"831552"	"3010947"
"831553"	"88365"
"831553"	"121684"
"831553"	"121806"
"831553"	"121883"
"831553"	"121917"
"831553"	"121994"
"831553"	"769770"
"831553"	"771647"
"831553"	"805623"
"831553"	"831606"
"831553"	"831652"
"831553"	"831544"
"831553"	"831759"
"831553"	"831677"
"831553"	"831747"
"831553"	"1009064"
"831553"	"1008962"
"831553"	"1103377"
"831553"	"1120187"
"831553"	"3005528"
"831553"	"3010912"
"831554"	""
"831555"	""
"831556"	"87386"
"831556"	"89599"
"831556"	"90056"
"831556"	"90864"
"831556"	"121580"
"831556"	"121685"
"831556"	"121791"
"831556"	"160264"
"831556"	"506991"
"831556"	"807238"
"831556"	"1120135"
"831557"	"62220"
"831557"	"90768"
"831557"	"90769"
"831557"	"121636"
"831557"	"121617"
"831557"	"121796"
"831557"	"566630"
"831557"	"807503"
"831557"	"831592"
"831557"	"1116936"
"831557"	"1116882"
"831557"	"3005528"
"831558"	"43966"
"831558"	"87343"
"831558"	"88381"
"831558"	"121614"
"831558"	"121689"
"831558"	"121777"
"831558"	"121946"
"831558"	"121829"
"831558"	"121869"
"831558"	"121981"
"831558"	"121945"
"831558"	"174805"
"831558"	"237281"
"831558"	"650811"
"831558"	"772474"
"831558"	"831560"
"831558"	"831592"
"831559"	"2032"
"831559"	"2321"
"831559"	"121615"
"831559"	"121764"
"831559"	"174741"
"831559"	"174756"
"831559"	"174900"
"831559"	"361521"
"831559"	"771085"
