sep=	
1185617	Gaussian Mixture Modeling of Short-Time Fourier Transform Features for Audio Fingerprinting.	Arunan Ramalingam,Sridhar Krishnan		IEEE Transactions on Information Forensics and Security
1185618	A Novel Image Recovery Algorithm for Visible Watermarked Images.	Soo-Chang Pei,Yi-Chong Zeng		IEEE Transactions on Information Forensics and Security
1185619	The CRC-NTMAC for Noisy Message Authentication.	Yu Liu,Charles G. Boncelet Jr.		IEEE Transactions on Information Forensics and Security
1185620	A Set Theoretic Framework for Watermarking and Its Application to Semifragile Tamper Detection.	Oktay Altun,Gaurav Sharma,Mehmet Utku Celik,Mark F. Bocko		IEEE Transactions on Information Forensics and Security
1185621	Block QIM watermarking games.	Pierre Moulin,Anil Kumar Goteti		IEEE Transactions on Information Forensics and Security
1185622	On Fundamental Limitations of Proving Data Theft.	Adam L. Young,Moti Yung		IEEE Transactions on Information Forensics and Security
1185623	Performance analysis of iris-based identification system at the matching score level.	Natalia A. Schmid,Manasi V. Ketkar,Harshinder Singh,Bojan Cukic		IEEE Transactions on Information Forensics and Security
1185624	Steganalysis using higher-order image statistics.	Siwei Lyu,Hany Farid		IEEE Transactions on Information Forensics and Security
1185625	Personal authentication using 3-D finger geometry.	Sotiris Malassiotis,Niki Aifanti,Michael G. Strintzis		IEEE Transactions on Information Forensics and Security
1185626	Robust and secure image hashing.	Ashwin Swaminathan,Yinian Mao,Min Wu		IEEE Transactions on Information Forensics and Security
1185627	Watermarking Protocol for Web Context.	Franco Frattolillo		IEEE Transactions on Information Forensics and Security
1185628	Digital Video Steganalysis Exploiting Statistical Visibility in the Temporal Domain.	Udit Budhia,Deepa Kundur,Takis Zourntos		IEEE Transactions on Information Forensics and Security
1185629	Face identification using novel frequency-domain representation of facial asymmetry.	Sinjini Mitra,Marios Savvides,B. V. K. Vijaya Kumar		IEEE Transactions on Information Forensics and Security
1185630	Gray Hausdorff distance measure for comparing face images.	E. P. Vivek,N. Sudha		IEEE Transactions on Information Forensics and Security
1185631	Dual protection of JPEG images based on informed embedding and two-stage watermark extraction techniques.	Wen-Nung Lie,Guo-Shiang Lin,Sheng-Lung Cheng		IEEE Transactions on Information Forensics and Security
1185632	Watermarking relying on cover signal content to hide synchronization marks.	Delannay Delannay,Benoît Macq		IEEE Transactions on Information Forensics and Security
1185633	Reducing delay and enhancing DoS resistance in multicast authentication through multigrade security.	Qing Li,Wade Trappe		IEEE Transactions on Information Forensics and Security
1185634	Steganalysis for Markov cover data with applications to images.	Kenneth Sullivan,Upamanyu Madhow,Shivkumar Chandrasekaran,B. S. Manjunath		IEEE Transactions on Information Forensics and Security
1185635	Automatic facial expression recognition using facial animation parameters and multistream HMMs.	Petar S. Aleksic,Aggelos K. Katsaggelos		IEEE Transactions on Information Forensics and Security
1185636	Biometrics: a tool for information security.	Anil K. Jain,Arun Ross,Sharath Pankanti		IEEE Transactions on Information Forensics and Security
1185637	A Markov chain Monte Carlo algorithm for bayesian dynamic signature verification.	Daigo Muramatsu,Mitsuru Kondo,Masahiro Sasaki,Satoshi Tachibana,Takashi Matsumoto		IEEE Transactions on Information Forensics and Security
1185638	'Print and Scan' Resilient Data Hiding in Images.	Kaushal Solanki,Upamanyu Madhow,B. S. Manjunath,Shivkumar Chandrasekaran,Ibrahim El-Khalil		IEEE Transactions on Information Forensics and Security
1185639	Estimation of message source and destination from network intercepts.	Derek Justice,Alfred O. Hero III		IEEE Transactions on Information Forensics and Security
1185640	Efficient spatial image watermarking via new perceptual masking and blind detection schemes.	Irene G. Karybali,Kostas Berberidis		IEEE Transactions on Information Forensics and Security
1185641	Teeth segmentation in digitized dental X-ray films using mathematical morphology.	Eyad Haj-Said,Diaa Eldin M. Nassar,Gamal Fahmy,Hany H. Ammar		IEEE Transactions on Information Forensics and Security
1185642	Behavior forensics for scalable multiuser collusion: fairness versus effectiveness.	H. Vicky Zhao,K. J. Ray Liu		IEEE Transactions on Information Forensics and Security
1185643	The Boneh-Shaw fingerprinting scheme is better than we thought.	Hans Georg Schaathun		IEEE Transactions on Information Forensics and Security
1185644	Graphical passwords based on robust discretization.	Jean-Camille Birget,Dawei Hong,Nasir D. Memon		IEEE Transactions on Information Forensics and Security
1185645	EyeCerts.	Daniel Schonberg,Darko Kirovski		IEEE Transactions on Information Forensics and Security
1185646	A New Digital Image Watermarking Algorithm Resilient to Desynchronization Attacks.	Xiangyang Wang,Jun Wu,Panpan Niu		IEEE Transactions on Information Forensics and Security
1185647	Analysis and design of secure watermark-based authentication systems.	Chuhong Fei,Deepa Kundur,Raymond H. Kwong		IEEE Transactions on Information Forensics and Security
1185648	On Generation and Analysis of Synthetic Iris Images.	Jinyu Zuo,Natalia A. Schmid,Xiaohan Chen		IEEE Transactions on Information Forensics and Security
1185649	Reversible Steganography for VQ-Compressed Images Using Side Matching and Relocation.	Chin-Chen Chang,Chih-Yang Lin		IEEE Transactions on Information Forensics and Security
1185650	Approximate Message Authentication Codes for N-ary Alphabets.	Renwei Ge,Gonzalo R. Arce,Giovanni Di Crescenzo		IEEE Transactions on Information Forensics and Security
1185651	Matrix embedding for large payloads.	Jessica J. Fridrich,David Soukal		IEEE Transactions on Information Forensics and Security
1185652	Fingerprint Retrieval for Identification.	Xudong Jiang,Manhua Liu,Alex ChiChung Kot		IEEE Transactions on Information Forensics and Security
1185653	The NTMAC for authentication of noisy messages.	Charles G. Boncelet Jr.		IEEE Transactions on Information Forensics and Security
1185654	An algorithm for distorted fingerprint matching based on local triangle feature set.	Xinjian Chen,Jie Tian,Xin Yang,Yangyang Zhang		IEEE Transactions on Information Forensics and Security
1185655	A clustering based approach to perceptual image hashing.	Vishal Monga,Arindam Banerjee,Brian L. Evans		IEEE Transactions on Information Forensics and Security
1185656	Fake finger detection by skin distortion analysis.	Athos Antonelli,Raffaele Cappelli,Dario Maio,Davide Maltoni		IEEE Transactions on Information Forensics and Security
1185657	Tracing Malicious Relays in Cooperative Wireless Communications.	Yinian Mao,Min Wu		IEEE Transactions on Information Forensics and Security
1185658	Wet paper codes with improved embedding efficiency.	Jessica J. Fridrich,Miroslav Goljan,David Soukal		IEEE Transactions on Information Forensics and Security
1185659	Security of autoregressive speech watermarking model under guessing attack.	Bin Yan,Zhe-Ming Lu,Sheng-He Sun		IEEE Transactions on Information Forensics and Security
1185660	Traitor-Within-Traitor Behavior Forensics: Strategy and Risk Minimization.	H. Vicky Zhao,K. J. Ray Liu		IEEE Transactions on Information Forensics and Security
1185661	Joint coding and embedding techniques for MultimediaFingerprinting.	Shan He,Min Wu		IEEE Transactions on Information Forensics and Security
1185662	A Novel Discriminant Non-Negative Matrix Factorization Algorithm With Applications to Facial Image Characterization Problems.	Irene Kotsia,Stefanos Zafeiriou,Ioannis Pitas		IEEE Transactions on Information Forensics and Security
1185663	Spoof Attacks on Gait Authentication System.	Davrondzhon Gafurov,Einar Snekkenes,Patrick Bours		IEEE Transactions on Information Forensics and Security
1185664	Multilevel 2-D Bar Codes: Toward High-Capacity Storage Modules for Multimedia Security and Management.	Renato Villán,Sviatoslav Voloshynovskiy,Oleksiy J. Koval,Thierry Pun		IEEE Transactions on Information Forensics and Security
1185665	A Constructive and Unifying Framework for Zero-Bit Watermarking.	Teddy Furon		IEEE Transactions on Information Forensics and Security
1185666	Statistically Robust Detection of Multiplicative Spread-Spectrum Watermarks.	Xingliang Huang,Bo Zhang		IEEE Transactions on Information Forensics and Security
1185667	Collusion-Resistant Video Fingerprinting for Large User Group.	Shan He,Min Wu		IEEE Transactions on Information Forensics and Security
1185668	An accurate analysis of scalar quantization-based data hiding.	Luis Pérez-Freire,Fernando Pérez-González,Sviatoslav Voloshynovskiy		IEEE Transactions on Information Forensics and Security
1185669	Robust Wireless Transmission of Compressed Latent Fingerprint Images.	Nigel M. Allinson,Jeevandra Sivarajah,Ian Gledhill,Michael Carling,L. J. Allinson		IEEE Transactions on Information Forensics and Security
1185670	3-D Face Recognition With the Geodesic Polar Representation.	Iordanis Mpiperis,Sotiris Malassiotis,Michael G. Strintzis		IEEE Transactions on Information Forensics and Security
1185671	Security of Lattice-Based Data Hiding Against the Known Message Attack.	Luis Pérez-Freire,Fernando Pérez-González,Teddy Furon,Pedro Comesaña		IEEE Transactions on Information Forensics and Security
1185672	Components and Their Topology for Robust Face Detection in the Presence of Partial Occlusions.	Lutz Goldmann,Ullrich J. Mönich,Thomas Sikora		IEEE Transactions on Information Forensics and Security
1185673	Hand-Geometry Recognition Using Entropy-Based Discretization.	Ajay Kumar,David Zhang		IEEE Transactions on Information Forensics and Security
1185674	Digital camera identification from sensor pattern noise.	Jan Lukás,Jessica J. Fridrich,Miroslav Goljan		IEEE Transactions on Information Forensics and Security
1185675	Template-Free Biometric-Key Generation by Means of Fuzzy Genetic Clustering.	Weiguo Sheng,Gareth Howells,Michael C. Fairhurst,Farzin Deravi		IEEE Transactions on Information Forensics and Security
1185676	Fragile Watermarking Based on Encoding of the Zeroes of the z-Transform.	Anthony Tung Shuen Ho,Xunzhan Zhu,Jun Shen,Pina Marziliano		IEEE Transactions on Information Forensics and Security
1185677	Evaluation of Localization Attacks on Power-Modulated Challenge-Response Systems.	Yu Zhang,Zang Li,Wade Trappe		IEEE Transactions on Information Forensics and Security
1185678	Blind Authentication Using Periodic Properties of Interpolation.	Babak Mahdian,Stanislav Saic		IEEE Transactions on Information Forensics and Security
1185679	Adaptive Data Hiding in Edge Areas of Images With Spatial LSB Domain Systems.	Cheng-Hsing Yang,Chi-Yao Weng,Shiuh-Jeng Wang,Hung-Min Sun		IEEE Transactions on Information Forensics and Security
1185680	Distributed Secret Sharing for Discrete Memoryless Networks.	William Luh,Deepa Kundur		IEEE Transactions on Information Forensics and Security
1185681	Robust Detection of MAC Layer Denial-of-Service Attacks in CSMA/CA Wireless Networks.	Alberto López Toledo,Xiaodong Wang		IEEE Transactions on Information Forensics and Security
1185682	Physical-Layer Authentication.	Paul L. Yu,John S. Baras,Brian M. Sadler		IEEE Transactions on Information Forensics and Security
1185683	Network Security for Client-Server Architecture Using Wiretap Codes.	Matthieu Bloch,Rajesh Narasimha,Steven W. McLaughlin		IEEE Transactions on Information Forensics and Security
1185684	On the Operational Quality of Fingerprint Scanners.	Raffaele Cappelli,Matteo Ferrara,Davide Maltoni		IEEE Transactions on Information Forensics and Security
1185685	Fingerprint Image-Quality Estimation and its Application to Multialgorithm Verification.	Hartwig Fronthaler,Klaus Kollreider,Josef Bigün,Julian Fiérrez-Aguilar,Fernando Alonso-Fernandez,Javier Ortega-Garcia,Joaquin Gonzalez-Rodriguez		IEEE Transactions on Information Forensics and Security
1185686	On the Assumption of Equal Contributions in Fingerprinting.	Hans Georg Schaathun		IEEE Transactions on Information Forensics and Security
1185687	Distributed Detection of Information Flows.	Ting He,Lang Tong		IEEE Transactions on Information Forensics and Security
1185688	Insertion, Deletion Codes With Feature-Based Embedding: A New Paradigm for Watermark Synchronization With Applications to Speech Watermarking.	David J. Coumou,Gaurav Sharma		IEEE Transactions on Information Forensics and Security
1185689	Digital Video Watermarking in P-Frames With Controlled Video Bit-Rate Increase.	Maneli Noorkami,Russell M. Mersereau		IEEE Transactions on Information Forensics and Security
1185690	Mutual Information Jammer-Relay Games.	Tairan Wang,Georgios B. Giannakis		IEEE Transactions on Information Forensics and Security
1185691	A Video Watermarking Scheme Based on the Dual-Tree Complex Wavelet Transform.	Lino Coria-Mendoza,Mark R. Pickering,Panos Nasiopoulos,Rabab K. Ward		IEEE Transactions on Information Forensics and Security
1185692	Learning the Uncorrelated, Independent, and Discriminating Color Spaces for Face Recognition.	Chengjun Liu		IEEE Transactions on Information Forensics and Security
1185693	A Selective Feature Information Approach for Iris Image-Quality Measure.	Craig Belcher,Yingzi Du		IEEE Transactions on Information Forensics and Security
1185694	Kerckhoffs-Based Embedding Security Classes for WOA Data Hiding.	François Cayre,Patrick Bas		IEEE Transactions on Information Forensics and Security
1185695	Classification and Feature Extraction by Simplexization.	Yun Fu,Shuicheng Yan,Thomas S. Huang		IEEE Transactions on Information Forensics and Security
1185696	A Fast Search Algorithm for a Large Fuzzy Database.	Feng Hao,John Daugman,Piotr Zielinski		IEEE Transactions on Information Forensics and Security
1185697	Blind Identification of Source Cell-Phone Model.	Oya Çeliktutan,Bülent Sankur,Ismail Avcibas		IEEE Transactions on Information Forensics and Security
1185698	Automatic Construction of Dental Charts for Postmortem Identification.	D. E. Nassar,Ayman Abaza,Xin Li,Hany H. Ammar		IEEE Transactions on Information Forensics and Security
1185699	Lookup-Table-Based Secure Client-Side Embedding for Spread-Spectrum Watermarks.	Mehmet Utku Celik,Aweke N. Lemma,Stefan Katzenbeisser,Michiel van der Veen		IEEE Transactions on Information Forensics and Security
1185700	Color Image Watermarking Using Multidimensional Fourier Transforms.	Tsz Kin Tsui,Xiao-Ping Zhang,Dimitrios Androutsos		IEEE Transactions on Information Forensics and Security
1185701	Secure Cooperation in Autonomous Mobile Ad-Hoc Networks Under Noise and Imperfect Monitoring: A Game-Theoretic Approach.	Wei Yu,K. J. Ray Liu		IEEE Transactions on Information Forensics and Security
1185702	Fusion of Matching Algorithms for Human Identification Using Dental X-Ray Radiographs.	Omaima Nomir,Mohamed Abdel-Mottaleb		IEEE Transactions on Information Forensics and Security
1185703	On Empirical Recognition Capacity of Biometric Systems Under Global PCA and ICA Encoding.	Natalia A. Schmid,Francesco Nicolo		IEEE Transactions on Information Forensics and Security
1185704	A Region Ensemble for 3-D Face Recognition.	Timothy C. Faltemier,Kevin W. Bowyer,Patrick J. Flynn		IEEE Transactions on Information Forensics and Security
1185705	Digital Image Forensics via Intrinsic Fingerprints.	Ashwin Swaminathan,Min Wu,K. J. Ray Liu		IEEE Transactions on Information Forensics and Security
1185706	Sensor Data Cryptography in Wireless Sensor Networks.	Tuncer C. Aysal,Kenneth E. Barner		IEEE Transactions on Information Forensics and Security
1185707	Bilinear Models for 3-D Face and Facial Expression Recognition.	Iordanis Mpiperis,Sotiris Malassiotis,Michael G. Strintzis		IEEE Transactions on Information Forensics and Security
1185708	Quantization-Based Data Hiding Robust to Linear-Time-Invariant Filtering.	Fernando Pérez-González,Carlos Mosquera		IEEE Transactions on Information Forensics and Security
