sep=	
1037489	Hierarchical modeling and analysis of embedded systems.	Rajeev Alur,Thao Dang,Joel M. Esposito,Yerang Hur,Franjo Ivancic,Vijay Kumar,Insup Lee,Pradyumna Mishra,George J. Pappas,Oleg Sokolsky		Proceedings of the IEEE
1037490	The synchronous languages 12 years later.	Albert Benveniste,Paul Caspi,Stephen A. Edwards,Nicolas Halbwachs,Paul Le Guernic,Robert de Simone		Proceedings of the IEEE
1037491	Scanning our past from the Netherlands: Bernard Tellegen and the pentode valve.	I. J. Blanken		Proceedings of the IEEE
1037492	Milestones on the road to higher resolution, quantitative, and functional ultrasonic imaging.	S. L. Bridal,J.-M. Correas,A. Saied,P. Laugier		Proceedings of the IEEE
1037493	Taming heterogeneity - the Ptolemy approach.	Johan Eker,Jörn W. Janneck,Edward A. Lee,Jie Liu,Xiaojun Liu,J. Ludvig,Stephen Neuendorffer,S. Sachs,Yuhong Xiong		Proceedings of the IEEE
1037494	Evolution of the Internet QoS and support for soft real-time applications.	Mohamed A. El-Gendy,Abhijit Bose,Kang G. Shin		Proceedings of the IEEE
1037495	The Technical and Legal Dangers of Code-Based Fair Use Enforcement.	J. S. Erickson,Deirdre K. Mulligan		Proceedings of the IEEE
1037496	Imaging elastic properties of biological tissues by low-frequency harmonic vibration.	Mostafa Fatemi,Armando Manduca,James F. Greenleaf		Proceedings of the IEEE
1037497	Fast volume scanning approaches by X-ray-computed tomography.	Theobald O. J. Fuchs,Marc Kachelriess,Willi A. Kalender		Proceedings of the IEEE
1037498	Multiparadigm scheduling for distributed real-time embedded computing.	Christopher D. Gill,Ron Cytron,Douglas C. Schmidt		Proceedings of the IEEE
1037499	The influence of processor architecture on the design and the results of WCET tools.	Reinhold Heckmann,Marc Langenbach,Stephan Thesing,Reinhard Wilhelm		Proceedings of the IEEE
1037500	Giotto: a time-triggered language for embedded programming.	Thomas A. Henzinger,Benjamin Horowitz,Christoph M. Kirsch		Proceedings of the IEEE
1037501	Discrete tomography in medical imaging.	Gabor T. Herman,Attila Kuba		Proceedings of the IEEE
1037502	Platform-based embedded software design and system integration for autonomous vehicles.	Benjamin Horowitz,Judith Liebman,Cedric Ma,Tak-John Koo,Alberto L. Sangiovanni-Vincentelli,Shankar Sastry		Proceedings of the IEEE
1037503	Geodesic morphometry with applications to 3-D morpho-functional anatomy.	Jean-José Jacq,Christian Roux		Proceedings of the IEEE
1037504	Music2Share - Copyright-Compliant Music Sharing in P2P Systems.	Ton Kalker,Dick H. J. Epema,Pieter H. Hartel,Reginald L. Lagendijk,Maarten van Steen		Proceedings of the IEEE
1037505	Model-integrated development of embedded software.	Gabor Karsai,Janos Sztipanovits,Ákos Lédeczi,Ted Bapty		Proceedings of the IEEE
1037506	The Long March to Interoperable Digital Rights Management.	R. H. Koenen,Jack Lacy,M. MacKay,S. Mitchell		Proceedings of the IEEE
1037507	The time-triggered architecture.	Hermann Kopetz,Günther Bauer		Proceedings of the IEEE
1037508	Scanning the issue - special issue on real-time systems.	C. Mani Krishna,Yann-Hang Lee		Proceedings of the IEEE
1037509	Video Fingerprinting and Encryption Principles for Digital Rights Management.	Deepa Kundur,Kannan Karthik		Proceedings of the IEEE
1037510	Special Issue on Enabling Security Technologies for Digital Rights Management.	Deepa Kundur,Ching-Yung Lin,Benoit M. Macq,Hong-heather Yu		Proceedings of the IEEE
1037511	The design and implementation of real-time schedulers in RED-linux.	Kwei-Jay Lin,Yu-Chung Wang		Proceedings of the IEEE
1037512	A Retrospective of R*: A Distributed Database Management System.	Bruce G. Lindsay		Proceedings of the IEEE
1037513	Java technology comes to real-time applications.	C. Douglas Locke,Peter C. Dibble		Proceedings of the IEEE
1037514	Early Galactic Radio Astronomy at Kootwijk and Some Consequential Developments.	B. van Loon,A. Hin		Proceedings of the IEEE
1037515	Anonymous Trust: Digital Rights Management Using Broadcast Encryption.	Jeffrey B. Lotspiech,Stefan Nusser,Florian Pestoni		Proceedings of the IEEE
1037516	Benchmarking of Image Watermarking Algorithms for Digital Rights Management.	Benoit M. Macq,Jana Dittmann,Edward J. Delp		Proceedings of the IEEE
1037517	Medical image registration using mutual information.	Frederik Maes,Dirk Vandermeulen,Paul Suetens		Proceedings of the IEEE
1037518	New Approaches to Digital Evidence.	Ueli M. Maurer		Proceedings of the IEEE
1037519	Legal Policy and Digital Rights Management.	R. Owens,R. Akalu		Proceedings of the IEEE
1037520	Efficient State Updates for Key Management.	Benny Pinkas		Proceedings of the IEEE
1037521	Multiscale medial shape-based analysis of image objects.	Stephen M. Pizer,Guido Gerig,Sarang C. Joshi,Stephen R. Aylward		Proceedings of the IEEE
1037522	Techniques for enhancing real-time CORBA quality of service.	Irfan Pyarali,Douglas C. Schmidt,Ron Cytron		Proceedings of the IEEE
1037523	Evolution of medical tomographic imaging-as seen from a Darwinian perspective.	Erik L. Ritman		Proceedings of the IEEE
1037524	Partial-Match Via the Method of Superimposed Codes.	Charles S. Roberts		Proceedings of the IEEE
1037525	Scanning the issue - special issue on emerging medical imaging technology.	Christian Roux,Jayaram K. Udupa		Proceedings of the IEEE
1037526	Scanning the issue - special issue on modeling and design of embedded software.	Shankar Sastry,Janos Sztipanovits,Ruzena Bajcsy,H. Gill		Proceedings of the IEEE
1037527	Upgrading real-time control software in the field.	Lui Sha		Proceedings of the IEEE
1037528	Building models of real-time systems from application software.	Joseph Sifakis,Stavros Tripakis,Sergio Yovine		Proceedings of the IEEE
1037529	Real-time communication and coordination in embedded sensor networks.	John A. Stankovic,Tarek F. Abdelzaher,Chenyang Lu,Lui Sha,Jennifer C. Hou		Proceedings of the IEEE
1037530	Invisible formal methods for embedded control systems.	Ashish Tiwari,Natarajan Shankar,John M. Rushby		Proceedings of the IEEE
1037531	Computational techniques for the verification of hybrid systems.	Claire Tomlin,Ian Mitchell,Alexandre M. Bayen,Meeko Oishi		Proceedings of the IEEE
1037532	Recent advances in modeling response-time distributions in real-time systems.	Kishor S. Trivedi,Srinivasan Ramani,Ricardo M. Fricks		Proceedings of the IEEE
1037533	Fuzzy connectedness and image segmentation.	Jayaram K. Udupa,Punam K. Saha		Proceedings of the IEEE
1037534	Biometric Cryptosystems: Issues and Challenges.	Umut Uludag,Sharath Pankanti,Salil Prabhakar,Anil K. Jain		Proceedings of the IEEE
1037535	System-level power-aware design techniques in real-time systems.	Osman S. Unsal,Israel Koren		Proceedings of the IEEE
