sep=	
871759	Empirical Studies of Control Dependence Graph Size for C Programs.	Mary Jean Harrold,James A. Jones,Gregg Rothermel		Empirical Software Engineering
871760	Introduction to the Special Issue: Papers from the Fifth International Symposium on Software Metrics.	William W. Agresti,Marvin V. Zelkowitz		Empirical Software Engineering
871761	Computer-Aided Systems Engineering Methodology Support and Its Effect on the Output of Structured Analysis.	David Jankowski		Empirical Software Engineering
871762	Impacts of the Organizational Model on Testing: Three Industrial Cases.	Jarmo J. Ahonen,Tuukka Junttila,Markku Sakkinen		Empirical Software Engineering
871763	Using Students as Subjects-A Comparative Study of Students and Professionals in Lead-Time Impact Assessment.	Martin Höst,Björn Regnell,Claes Wohlin		Empirical Software Engineering
871764	Ethical Issues in Empirical Software Engineering: The Limits of Policy.	Anneliese Amschler Andrews,Arundeep S. Pradhan		Empirical Software Engineering
871765	Viewpoint: PhD Abstract Publication in Empirical Software Engineering.	D. Ross Jeffery		Empirical Software Engineering
871766	A Simulation Tool for Efficient Analogy Based Cost Estimation.	Lefteris Angelis,Ioannis Stamelos		Empirical Software Engineering
871767	An Introduction to "Dissertation Abstracts".	Ross Jeffrey		Empirical Software Engineering
871768	Reply to comments by M. Jorgensen, on the paper: `A Simulation Tool for Efficient Analogy Based Cost Estimation' by L. Angelis and I. Stamelos, Published in Empirical Software Engineering.	Lefteris Angelis,Ioannis Stamelos		Empirical Software Engineering
871769	Fault Prediction Modeling for Software Quality Estimation: Comparing Commonly Used Techniques.	Taghi M. Khoshgoftaar,Naeem Seliya		Empirical Software Engineering
871770	Object-Oriented Function Points: An Empirical Validation.	Giuliano Antoniol,Roberto Fiutem,Christopher J. Lokan		Empirical Software Engineering
871771	Analogy-Based Practical Classification Rules for Software Quality Estimation.	Taghi M. Khoshgoftaar,Naeem Seliya		Empirical Software Engineering
871772	A Function Point-Like Measure for Object-Oriented Software.	Giuliano Antoniol,Christopher J. Lokan,Gianluigi Caldiera,Roberto Fiutem		Empirical Software Engineering
871773	Comparative Assessment of Software Quality Classification Techniques: An Empirical Case Study.	Taghi M. Khoshgoftaar,Naeem Seliya		Empirical Software Engineering
871774	Assessing the Changeability of two Object-Oriented Design Alternatives - a Controlled Experiment.	Erik Arisholm,Dag I. K. Sjøberg,Magne Jørgensen		Empirical Software Engineering
871775	Assessment of a New Three-Group Software Quality Classification Technique: An Empirical Case Study.	Taghi M. Khoshgoftaar,Naeem Seliya,Kehan Gao		Empirical Software Engineering
871776	Monitoring Smoothly Degrading Systems for Increased Dependability.	Alberto Avritzer,Elaine J. Weyuker		Empirical Software Engineering
871777	Balancing Misclassification Rates in Classification-Tree Models of Software Quality.	Taghi M. Khoshgoftaar,Xiaojing Yuan,Edward B. Allen		Empirical Software Engineering
871778	Metrics to Assess the Likelihood of Project Success Based on Architecture Reviews.	Alberto Avritzer,Elaine J. Weyuker		Empirical Software Engineering
871779	Uncertain Classification of Fault-Prone Software Modules.	Taghi M. Khoshgoftaar,Xiaojing Yuan,Edward B. Allen,Wendell D. Jones,John P. Hudepohl		Empirical Software Engineering
871780	Software Process Improvement Motivators: An Analysis using Multidimensional Scaling.	Nathan Baddoo,Tracy Hall		Empirical Software Engineering
