sep=	
1077233	Optimal parallel selection.	Yijie Han		ACM Transactions on Algorithms
1077234	Approximating rank-width and clique-width quickly.	Sang-il Oum		ACM Transactions on Algorithms
1077235	Pricing multicasting in more flexible network models.	Micah Adler,Dan Rubenstein		ACM Transactions on Algorithms
1077236	Oblivious routing on node-capacitated and directed graphs.	Mohammad Taghi Hajiaghayi,Robert D. Kleinberg,Harald Räcke,Tom Leighton		ACM Transactions on Algorithms
1077237	Maintaining information in fully dynamic trees with top trees.	Stephen Alstrup,Jacob Holm,Kristian de Lichtenberg,Mikkel Thorup		ACM Transactions on Algorithms
1077238	Provably good moving least squares.	Ravi Krishna Kolluri		ACM Transactions on Algorithms
1077239	Black box for constant-time insertion in priority queues (note).	Stephen Alstrup,Thore Husfeldt,Theis Rauhe,Mikkel Thorup		ACM Transactions on Algorithms
1077240	Compact name-independent routing with minimum stretch.	Ittai Abraham,Cyril Gavoille,Dahlia Malkhi,Noam Nisan,Mikkel Thorup		ACM Transactions on Algorithms
1077241	An () algorithm for ear decompositions of matching-covered graphs.	Marcelo H. de Carvalho,Joseph Cheriyan		ACM Transactions on Algorithms
1077242	Clustering, community partition and disjoint spanning trees.	Cun-Quan Zhang,Yongbin Ou		ACM Transactions on Algorithms
1077243	On a generalization of the stable roommates problem.	Katarína Cechlárová,Tamás Fleiner		ACM Transactions on Algorithms
1077244	Optimal branch-decomposition of planar graphs in () Time.	Qian-Ping Gu,Hisao Tamaki		ACM Transactions on Algorithms
1077245	The greedy algorithm for the minimum common string partition problem.	Marek Chrobak,Petr Kolman,Jiri Sgall		ACM Transactions on Algorithms
1077246	Average-case lower bounds for the plurality problem.	Laurent Alonso,Edward M. Reingold		ACM Transactions on Algorithms
1077247	Fixed-parameter algorithms for (, )-center in planar graphs and map graphs.	Erik D. Demaine,Fedor V. Fomin,Mohammad Taghi Hajiaghayi,Dimitrios M. Thilikos		ACM Transactions on Algorithms
1077248	Testing Euclidean minimum spanning trees in the plane.	Artur Czumaj,Christian Sohler		ACM Transactions on Algorithms
1077249	A maiden analysis of longest wait first.	Jeff Edmonds,Kirk Pruhs		ACM Transactions on Algorithms
1077250	Determining plurality.	Laurent Alonso,Edward M. Reingold		ACM Transactions on Algorithms
1077251	Computing almost shortest paths.	Michael Elkin		ACM Transactions on Algorithms
1077252	Optimality of an algorithm solving the Bottleneck Tower of Hanoi problem.	Yefim Dinitz,Shay Solomon		ACM Transactions on Algorithms
1077253	On network design problems: fixed cost flows and the covering steiner problem.	Guy Even,Guy Kortsarz,Wolfgang Slany		ACM Transactions on Algorithms
1077254	Balanced parentheses strike back.	Hsueh-I Lu,Chia-Chi Yeh		ACM Transactions on Algorithms
1077255	Editor's foreword.	Harold N. Gabow		ACM Transactions on Algorithms
1077256	Improved algorithms for the minmax-regret 1-center and 1-median problems.	Hung-I Yu,Tzu-Chin Lin,Biing-Feng Wang		ACM Transactions on Algorithms
1077257	Approximate majorization and fair online load balancing.	Ashish Goel,Adam Meyerson,Serge A. Plotkin		ACM Transactions on Algorithms
1077258	Algorithms for capacitated rectangle stabbing and lot sizing with joint set-up costs.	Guy Even,Retsef Levi,Dror Rawitz,Baruch Schieber,Shimon Shahar,Maxim Sviridenko		ACM Transactions on Algorithms
1077259	Analysis of linear combination algorithms in cryptography.	Peter J. Grabner,Clemens Heuberger,Helmut Prodinger,Jörg M. Thuswaldner		ACM Transactions on Algorithms
1077260	Roundtrip spanners and roundtrip routing in directed graphs.	Liam Roditty,Mikkel Thorup,Uri Zwick		ACM Transactions on Algorithms
1077261	Individual displacements for linear probing hashing with different insertion policies.	Svante Janson		ACM Transactions on Algorithms
1077262	Writing-all deterministically and optimally using a nontrivial number of asynchronous processors.	Dariusz R. Kowalski,Alexander A. Shvartsman		ACM Transactions on Algorithms
1077263	The NP-completeness column.	David S. Johnson		ACM Transactions on Algorithms
1077264	Optimally scheduling video-on-demand to minimize delay when sender and receiver bandwidth may differ.	William S. Evans,David G. Kirkpatrick		ACM Transactions on Algorithms
1077265	Approximation algorithms for the capacitated minimum spanning tree problem and its variants in network design.	Raja Jothi,Balaji Raghavachari		ACM Transactions on Algorithms
1077266	Approximation schemes for wireless networks.	Tim Nieberg,Johann Hurink,Walter Kern		ACM Transactions on Algorithms
1077267	Problems column.	Samir Khuller		ACM Transactions on Algorithms
1077268	Atomic congestion games among coalitions.	Dimitris Fotakis,Spyros C. Kontogiannis,Paul G. Spirakis		ACM Transactions on Algorithms
1077269	A linear-time approximation algorithm for weighted matchings in graphs.	Doratha E. Drake Vinkemeier,Stefan Hougardy		ACM Transactions on Algorithms
1077270	Approximation algorithms for a facility location problem with service capacities.	Jens Maßberg,Jens Vygen		ACM Transactions on Algorithms
1077271	Exact distribution of individual displacements in linear probing hashing.	Alfredo Viola		ACM Transactions on Algorithms
1077272	Label-guided graph exploration by a finite automaton.	Reuven Cohen,Pierre Fraigniaud,David Ilcinkas,Amos Korman,David Peleg		ACM Transactions on Algorithms
1077273	Fast sparse matrix multiplication.	Raphael Yuster,Uri Zwick		ACM Transactions on Algorithms
1077274	Algorithmic construction of sets for -restrictions.	Noga Alon,Dana Moshkovitz,Shmuel Safra		ACM Transactions on Algorithms
1077275	Approximate distance oracles for unweighted graphs in expected () time.	Surender Baswana,Sandeep Sen		ACM Transactions on Algorithms
1077276	Faster fixed parameter tractable algorithms for finding feedback vertex sets.	Venkatesh Raman,Saket Saurabh,C. R. Subramanian		ACM Transactions on Algorithms
1077277	Finding 3-shredders efficiently.	Rajneesh Hegde		ACM Transactions on Algorithms
1077278	Succinct ordinal trees with level-ancestor queries.	Richard F. Geary,Rajeev Raman,Venkatesh Raman		ACM Transactions on Algorithms
1077279	Bipartite roots of graphs.	Lap Chi Lau		ACM Transactions on Algorithms
1077280	The cyclic multi-peg Tower of Hanoi.	Daniel Berend,Amir Sapir		ACM Transactions on Algorithms
1077281	Secure multiparty computation of approximations.	Joan Feigenbaum,Yuval Ishai,Tal Malkin,Kobbi Nissim,Martin J. Strauss,Rebecca N. Wright		ACM Transactions on Algorithms
1077282	When indexing equals compression: Experiments with compressing suffix arrays and applications.	Luca Foschini,Roberto Grossi,Ankur Gupta,Jeffrey Scott Vitter		ACM Transactions on Algorithms
1077283	Minimizing mean flow time for UET tasks.	Yumei Huo,Joseph Y.-T. Leung		ACM Transactions on Algorithms
1077284	The register function for -ary trees.	Michael Drmota,Helmut Prodinger		ACM Transactions on Algorithms
1077285	Quasiconvex analysis of multivariate recurrence equations for backtracking algorithms.	David Eppstein		ACM Transactions on Algorithms
1077286	Online topological ordering.	Irit Katriel,Hans L. Bodlaender		ACM Transactions on Algorithms
1077287	Problems column.	Samir Khuller		ACM Transactions on Algorithms
1077288	This side up!	Leah Epstein,Rob van Stee		ACM Transactions on Algorithms
1077289	Dense subgraph problems with output-density conditions.	Akiko Suzuki,Takeshi Tokuyama		ACM Transactions on Algorithms
1077290	Experimental analysis of dynamic all pairs shortest path algorithms.	Camil Demetrescu,Giuseppe F. Italiano		ACM Transactions on Algorithms
1077291	An approximation algorithm for scheduling malleable tasks under general precedence constraints.	Klaus Jansen,Hu Zhang		ACM Transactions on Algorithms
1077292	The minimum generalized vertex cover problem.	Refael Hassin,Asaf Levin		ACM Transactions on Algorithms
1077293	Generic quantum Fourier transforms.	Cristopher Moore,Daniel N. Rockmore,Alexander Russell		ACM Transactions on Algorithms
1077294	Minimizing total completion time on uniform machines with deadline constraints.	Teofilo F. Gonzalez,Joseph Y.-T. Leung,Michael Pinedo		ACM Transactions on Algorithms
1077295	Fault-tolerant facility location.	Chaitanya Swamy,David B. Shmoys		ACM Transactions on Algorithms
1077296	Efficient algorithms for bichromatic separability.	Pankaj K. Agarwal,Boris Aronov,Vladlen Koltun		ACM Transactions on Algorithms
1077297	Robust subgraphs for trees and paths.	Refael Hassin,Danny Segev		ACM Transactions on Algorithms
1077298	Oracles for bounded-length shortest paths in planar graphs.	Lukasz Kowalik,Maciej Kurowski		ACM Transactions on Algorithms
1077299	The NP-completeness column: The many limits on approximation.	David S. Johnson		ACM Transactions on Algorithms
1077300	Online scheduling of splittable tasks.	Leah Epstein,Rob van Stee		ACM Transactions on Algorithms
1077301	An improved algorithm for CIOQ switches.	Yossi Azar,Yossi Richter		ACM Transactions on Algorithms
1077302	Foreword.	Alejandro López-Ortiz,J. Ian Munro		ACM Transactions on Algorithms
1077303	Improved results for data migration and open shop scheduling.	Rajiv Gandhi,Magnús M. Halldórsson,Guy Kortsarz,Hadas Shachnai		ACM Transactions on Algorithms
1077304	Optimal constrained graph exploration.	Christian A. Duncan,Stephen G. Kobourov,V. S. Anil Kumar		ACM Transactions on Algorithms
1077305	Rank-maximal matchings.	Robert W. Irving,Telikepalli Kavitha,Kurt Mehlhorn,Dimitrios Michail,Katarzyna E. Paluch		ACM Transactions on Algorithms
1077306	A loopless Gray code for rooted trees.	James F. Korsh,Paul LaFollette		ACM Transactions on Algorithms
1077307	Generating rooted and free plane trees.	Joe Sawada		ACM Transactions on Algorithms
1077308	Pattern matching for arc-annotated sequences.	Jens Gramm,Jiong Guo,Rolf Niedermeier		ACM Transactions on Algorithms
1077309	Melding priority queues.	Ran Mendelson,Robert Endre Tarjan,Mikkel Thorup,Uri Zwick		ACM Transactions on Algorithms
1077310	A general approach to online network optimization problems.	Noga Alon,Baruch Awerbuch,Yossi Azar,Niv Buchbinder,Joseph Naor		ACM Transactions on Algorithms
1077311	An improved algorithm for radio broadcast.	Michael Elkin,Guy Kortsarz		ACM Transactions on Algorithms
1077312	Frugal path mechanisms.	Aaron Archer,Éva Tardos		ACM Transactions on Algorithms
1077313	On the difficulty of some shortest path problems.	John Hershberger,Subhash Suri,Amit M. Bhosle		ACM Transactions on Algorithms
1077314	Querying priced information in databases: The conjunctive case.	Renato Carmo,Tomás Feder,Yoshiharu Kohayakawa,Eduardo Sany Laber,Rajeev Motwani,Liadan O'Callaghan,Rina Panigrahy,Dilys Thomas		ACM Transactions on Algorithms
1077315	The string edit distance matching problem with moves.	Graham Cormode,S. Muthukrishnan		ACM Transactions on Algorithms
1077316	Tight bounds for worst-case equilibria.	Artur Czumaj,Berthold Vöcking		ACM Transactions on Algorithms
1077317	Entropy-based bounds for online algorithms.	Gopal Pandurangan,Eli Upfal		ACM Transactions on Algorithms
1077318	A data structure for a sequence of string accesses in external memory.	Valentina Ciriani,Paolo Ferragina,Fabrizio Luccio,S. Muthukrishnan		ACM Transactions on Algorithms
1077319	Algorithmic aspects of bandwidth trading.	Randeep Bhatia,Julia Chuzhoy,Ari Freund,Joseph Naor		ACM Transactions on Algorithms
1077320	Foreword to special issue on SODA 2002.	David Eppstein		ACM Transactions on Algorithms
1077321	Minimizing weighted flow time.	Nikhil Bansal,Kedar Dhamdhere		ACM Transactions on Algorithms
1077322	An () algorithm for incremental topological ordering.	Deepak Ajwani,Tobias Friedrich,Ulrich Meyer		ACM Transactions on Algorithms
1077323	Computing equilibria for a service provider game with (Im)perfect information.	René Beier,Artur Czumaj,Piotr Krysta,Berthold Vöcking		ACM Transactions on Algorithms
1077324	Improved approximation results for the stable marriage problem.	Magnús M. Halldórsson,Kazuo Iwama,Shuichi Miyazaki,Hiroki Yanagisawa		ACM Transactions on Algorithms
1077325	Dynamic text and static pattern matching.	Amihood Amir,Gad M. Landau,Moshe Lewenstein,Dina Sokol		ACM Transactions on Algorithms
1077326	Compressed indexes for dynamic text collections.	Ho-Leung Chan,Wing-Kai Hon,Tak Wah Lam,Kunihiko Sadakane		ACM Transactions on Algorithms
1077327	Compressed representations of sequences and full-text indexes.	Paolo Ferragina,Giovanni Manzini,Veli Mäkinen,Gonzalo Navarro		ACM Transactions on Algorithms
1077328	A simple entropy-based algorithm for planar point location.	Sunil Arya,Theocharis Malamatos,David M. Mount		ACM Transactions on Algorithms
1077329	Nearest-neighbor-preserving embeddings.	Piotr Indyk,Assaf Naor		ACM Transactions on Algorithms
1077330	Phase changes in random point quadtrees.	Hua-Huai Chern,Michael Fuchs,Hsien-Kuei Hwang		ACM Transactions on Algorithms
1077331	An algorithm for deciding zero equivalence of nested polynomially recurrent sequences.	Manuel Kauers		ACM Transactions on Algorithms
1077332	Windows scheduling as a restricted version of bin packing.	Amotz Bar-Noy,Richard E. Ladner,Tami Tamir		ACM Transactions on Algorithms
1077333	Multicommodity demand flow in a tree and packing integer programs.	Chandra Chekuri,Marcelo Mydlarz,F. Bruce Shepherd		ACM Transactions on Algorithms
1077334	Multiplierless multiple constant multiplication.	Yevgen Voronenko,Markus Püschel		ACM Transactions on Algorithms
1077335	Retroactive data structures.	Erik D. Demaine,John Iacono,Stefan Langerman		ACM Transactions on Algorithms
1077336	Strongly stable matchings in time () and extension to the hospitals-residents problem.	Telikepalli Kavitha,Kurt Mehlhorn,Dimitrios Michail,Katarzyna E. Paluch		ACM Transactions on Algorithms
1077337	Novel architectures for P2P applications: The continuous-discrete approach.	Moni Naor,Udi Wieder		ACM Transactions on Algorithms
1077338	Convergence time to Nash equilibrium in load balancing.	Eyal Even-Dar,Alexander Kesselman,Yishay Mansour		ACM Transactions on Algorithms
1077339	The relative worst order ratio for online algorithms.	Joan Boyar,Lene M. Favrholdt		ACM Transactions on Algorithms
1077340	Faster algorithms for sorting by transpositions and sorting by block interchanges.	Jianxing Feng,Daming Zhu		ACM Transactions on Algorithms
1077341	Improved algorithms for weakly chordal graphs.	Ryan B. Hayward,Jeremy Spinrad,R. Sritharan		ACM Transactions on Algorithms
1077342	Routing and scheduling in multihop wireless networks with time-varying channels.	Matthew Andrews,Lisa Zhang		ACM Transactions on Algorithms
1077343	Deterministic sampling and range counting in geometric data streams.	Amitabha Bagchi,Amitabh Chaudhary,David Eppstein,Michael T. Goodrich		ACM Transactions on Algorithms
1077344	Constructing pairwise disjoint paths with few links.	Himanshu Gupta,Rephael Wenger		ACM Transactions on Algorithms
1077345	Problems column.	Samir Khuller		ACM Transactions on Algorithms
1077346	Approximate parameterized matching.	Carmit Hazay,Moshe Lewenstein,Dina Sokol		ACM Transactions on Algorithms
1077347	The NP-completeness column: Finding needles in haystacks.	David S. Johnson		ACM Transactions on Algorithms
1077348	Sharing the cost more efficiently: Improved approximation for multicommodity rent-or-buy.	Luca Becchetti,Jochen Könemann,Stefano Leonardi,Martin Pál		ACM Transactions on Algorithms
1077349	Energy-efficient algorithms for flow time minimization.	Susanne Albers,Hiroshi Fujiwara		ACM Transactions on Algorithms
1077350	Skip graphs.	James Aspnes,Gauri Shah		ACM Transactions on Algorithms
1077351	Guessing secrets efficiently via list decoding.	Noga Alon,Venkatesan Guruswami,Tali Kaufman,Madhu Sudan		ACM Transactions on Algorithms
1077352	Finding the shortest simple paths: A new algorithm and its implementation.	John Hershberger,Matthew Maxel,Subhash Suri		ACM Transactions on Algorithms
1077353	Routing selfish unsplittable traffic.	Vincenzo Auletta,Roberto De Prisco,Paolo Penna,Giuseppe Persiano		ACM Transactions on Algorithms
1077354	Introduction to SODA 2002 and 2003 special issue.	Harold N. Gabow,Michael A. Bender,Martin Farach-Colton		ACM Transactions on Algorithms
1077355	Approximation algorithms and hardness results for cycle packing problems.	Michael Krivelevich,Zeev Nutov,Mohammad R. Salavatipour,Jacques Yuster,Raphael Yuster		ACM Transactions on Algorithms
1077356	Packing element-disjoint steiner trees.	Joseph Cheriyan,Mohammad R. Salavatipour		ACM Transactions on Algorithms
1077357	The -traveling repairmen problem.	Jittat Fakcharoenphol,Chris Harrelson,Satish Rao		ACM Transactions on Algorithms
1077358	Improved online algorithms for buffer management in QoS switches.	Marek Chrobak,Wojciech Jawor,Jiri Sgall,Tomás Tichý		ACM Transactions on Algorithms
1077359	Partial fillup and search time in LC tries.	Svante Janson,Wojciech Szpankowski		ACM Transactions on Algorithms
1077360	Edge-disjoint paths revisited.	Chandra Chekuri,Sanjeev Khanna		ACM Transactions on Algorithms
1077361	Succinct indexable dictionaries with applications to encoding -ary trees, prefix sums and multisets.	Rajeev Raman,Venkatesh Raman,Srinivasa Rao Satti		ACM Transactions on Algorithms
1077362	Algorithms for power savings.	Sandy Irani,Sandeep K. Shukla,Rajesh Gupta		ACM Transactions on Algorithms
1077363	The priority R-tree: A practically efficient and worst-case optimal R-tree.	Lars Arge,Mark de Berg,Herman J. Haverkort,Ke Yi		ACM Transactions on Algorithms
1077364	Finding a long directed cycle.	Harold N. Gabow,Shuxin Nie		ACM Transactions on Algorithms
1077365	Hierarchical bin buffering: Online local moments for dynamic external memory arrays.	Daniel Lemire,Owen Kaser		ACM Transactions on Algorithms
1077366	Approximate distance oracles for geometric spanners.	Joachim Gudmundsson,Christos Levcopoulos,Giri Narasimhan,Michiel H. M. Smid		ACM Transactions on Algorithms
1077367	Improved bounds for scheduling conflicting jobs with minsum criteria.	Rajiv Gandhi,Magnús M. Halldórsson,Guy Kortsarz,Hadas Shachnai		ACM Transactions on Algorithms
1077368	Rectangular layouts and contact graphs.	Adam L. Buchsbaum,Emden R. Gansner,Cecilia Magdalena Procopiuc,Suresh Venkatasubramanian		ACM Transactions on Algorithms
1077369	Path decomposition under a new cost measure with applications to optical network design.	Elliot Anshelevich,Lisa Zhang		ACM Transactions on Algorithms
1077370	Faster approximation schemes for fractional multicommodity flow problems.	George Karakostas		ACM Transactions on Algorithms
1077371	Thin heaps, thick heaps.	Haim Kaplan,Robert Endre Tarjan		ACM Transactions on Algorithms
1077372	Alternation and redundancy analysis of the intersection problem.	Jérémy Barbay,Claire Kenyon		ACM Transactions on Algorithms
1077373	A faster and simpler fully dynamic transitive closure.	Liam Roditty		ACM Transactions on Algorithms
1077374	The collective memory of amnesic processes.	Rachid Guerraoui,Ron R. Levy,Bastian Pochon,Jim Pugh		ACM Transactions on Algorithms
1077375	Uniform deterministic dictionaries.	Milan Ruzic		ACM Transactions on Algorithms
1077376	No sorting&quest; better searching&excl;.	Gianni Franceschini,Roberto Grossi		ACM Transactions on Algorithms
1077377	Randomized minimum spanning tree algorithms using exponentially fewer random bits.	Seth Pettie,Vijaya Ramachandran		ACM Transactions on Algorithms
1077378	Embeddings of negative-type metrics and an improved approximation to generalized sparsest cut.	Shuchi Chawla,Anupam Gupta,Harald Räcke		ACM Transactions on Algorithms
1077379	Compact dictionaries for variable-length keys and data with applications.	Daniel K. Blandford,Guy E. Blelloch		ACM Transactions on Algorithms
1077380	Primal-dual approach for directed vertex connectivity augmentation and generalizations.	László A. Végh,András A. Benczúr		ACM Transactions on Algorithms
1077381	Dissections, orientations, and trees with applications to optimal mesh encoding and random sampling.	Éric Fusy,Gilles Schaeffer,Dominique Poulalhon		ACM Transactions on Algorithms
1077382	Guest editorial.	Adam L. Buchsbaum		ACM Transactions on Algorithms
1077383	Limitations of cross-monotonic cost-sharing schemes.	Nicole Immorlica,Mohammad Mahdian,Vahab S. Mirrokni		ACM Transactions on Algorithms
1077384	Dynamic routing schemes for graphs with low local density.	Amos Korman,David Peleg		ACM Transactions on Algorithms
1077385	On the approximability of some network design problems.	Julia Chuzhoy,Anupam Gupta,Joseph Naor,Amitabh Sinha		ACM Transactions on Algorithms
1077386	An asymptotic approximation scheme for multigraph edge coloring.	Peter Sanders,David Steurer		ACM Transactions on Algorithms
1077387	Dynamic entropy-compressed sequences and full-text indexes.	Veli Mäkinen,Gonzalo Navarro		ACM Transactions on Algorithms
1077388	Getting the best response for your erg.	Kirk Pruhs,Patchrawat Uthaisombut,Gerhard J. Woeginger		ACM Transactions on Algorithms
1077389	A new approximation algorithm for the asymmetric TSP with triangle inequality.	Markus Bläser		ACM Transactions on Algorithms
1077390	Improved algorithms for optimal embeddings.	Nishanth Chandran,Ryan Moriarty,Rafail Ostrovsky,Omkant Pandey,Mohammad Ali Safari,Amit Sahai		ACM Transactions on Algorithms
1077391	Fully dynamic algorithms for chordal graphs and split graphs.	Louis Ibarra		ACM Transactions on Algorithms
1077392	Deterministic conflict-free coloring for intervals: From offline to online.	Amotz Bar-Noy,Panagiotis Cheilaris,Shakhar Smorodinsky		ACM Transactions on Algorithms
1077393	Ordinal embeddings of minimum relaxation: General properties, trees, and ultrametrics.	Noga Alon,Mihai Badoiu,Erik D. Demaine,Martin Farach-Colton,Mohammad Taghi Hajiaghayi,Anastasios Sidiropoulos		ACM Transactions on Algorithms
1077394	The relative worst order ratio applied to seat reservation.	Joan Boyar,Paul Medvedev		ACM Transactions on Algorithms
1077395	Multipartite priority queues.	Amr Elmasry,Claus Jensen,Jyrki Katajainen		ACM Transactions on Algorithms
1077396	On the minimum common integer partition problem.	Xin Chen,Lan Liu,Zheng Liu,Tao Jiang		ACM Transactions on Algorithms
1077397	Online nonpreemptive scheduling of equal-length jobs on two identical machines.	Michael H. Goldwasser,Mark Pedigo		ACM Transactions on Algorithms
1077398	Kinetic and dynamic data structures for closest pair and all nearest neighbors.	Pankaj K. Agarwal,Haim Kaplan,Micha Sharir		ACM Transactions on Algorithms
1077399	Combinatorial bounds via measure and conquer: Bounding minimal dominating sets and applications.	Fedor V. Fomin,Fabrizio Grandoni,Artem V. Pyatkin,Alexey A. Stepanov		ACM Transactions on Algorithms
1077400	Algorithms for center and Tverberg points.	Pankaj K. Agarwal,Micha Sharir,Emo Welzl		ACM Transactions on Algorithms
1077401	Competitive buffer management for shared-memory switches.	William Aiello,Alexander Kesselman,Yishay Mansour		ACM Transactions on Algorithms
1077402	SRPT optimally utilizes faster machines to minimize flow time.	Eric Torng,Jason McCullough		ACM Transactions on Algorithms
1077403	Structure and linear-time recognition of 4-leaf powers.	Andreas Brandstädt,Van Bang Le,R. Sritharan		ACM Transactions on Algorithms
1077404	On hard instances of approximate vertex cover.	Sundar Vishwanathan		ACM Transactions on Algorithms
1077405	On an infinite family of solvable Hanoi graphs.	Dany Azriel,Noam Solomon,Shay Solomon		ACM Transactions on Algorithms
1077406	Distributed weighted vertex cover via maximal matchings.	Fabrizio Grandoni,Jochen Könemann,Alessandro Panconesi		ACM Transactions on Algorithms
1077407	Combinatorial dominance guarantees for problems with infeasible solutions.	Daniel Berend,Steven Skiena,Yochai Twitto		ACM Transactions on Algorithms
1077408	A 1.8 approximation algorithm for augmenting edge-connectivity of a graph from 1 to 2.	Guy Even,Jon Feldman,Guy Kortsarz,Zeev Nutov		ACM Transactions on Algorithms
1077409	Average-case analysis of some plurality algorithms.	Laurent Alonso,Edward M. Reingold		ACM Transactions on Algorithms
1077410	Testing bipartiteness of geometric intersection graphs.	David Eppstein		ACM Transactions on Algorithms
1077411	Algorithms for distributional and adversarial pipelined filter ordering problems.	Anne Condon,Amol Deshpande,Lisa Hellerstein,Ning Wu		ACM Transactions on Algorithms
