sep=	
"1077233"	"493330"
"1077233"	"609811"
"1077233"	"614005"
"1077233"	"623278"
"1077233"	"798291"
"1077233"	"839427"
"1077233"	"930665"
"1077233"	"933498"
"1077233"	"952846"
"1077233"	"1035616"
"1077233"	"1058956"
"1077234"	"228655"
"1077234"	"481148"
"1077234"	"621985"
"1077234"	"660576"
"1077234"	"836522"
"1077234"	"837340"
"1077234"	"950771"
"1077234"	"974785"
"1077234"	"974787"
"1077234"	"977408"
"1077234"	"977717"
"1077234"	"978691"
"1077234"	"978746"
"1077234"	"979168"
"1077234"	"1059520"
"1077234"	"1060875"
"1077234"	"1091459"
"1077235"	"2616"
"1077235"	"210039"
"1077235"	"210923"
"1077235"	"588450"
"1077235"	"588823"
"1077235"	"588853"
"1077235"	"597003"
"1077235"	"610807"
"1077235"	"621976"
"1077235"	"622360"
"1077235"	"622819"
"1077235"	"623312"
"1077235"	"1059341"
"1077235"	"1117386"
"1077236"	"211434"
"1077236"	"211664"
"1077236"	"267305"
"1077236"	"609732"
"1077236"	"614107"
"1077236"	"614323"
"1077236"	"614463"
"1077236"	"621308"
"1077236"	"621341"
"1077236"	"621336"
"1077236"	"621697"
"1077236"	"623212"
"1077236"	"952981"
"1077236"	"953214"
"1077236"	"1059290"
"1077237"	"267310"
"1077237"	"267191"
"1077237"	"268868"
"1077237"	"609733"
"1077237"	"610224"
"1077237"	"610603"
"1077237"	"611309"
"1077237"	"622935"
"1077237"	"623171"
"1077237"	"950693"
"1077237"	"951628"
"1077237"	"951701"
"1077237"	"952947"
"1077237"	"952971"
"1077237"	"972981"
"1077237"	"1013710"
"1077237"	"1014346"
"1077237"	"1059550"
"1077237"	"1089003"
"1077238"	"110754"
"1077238"	"110925"
"1077238"	"586668"
"1077238"	"586702"
"1077238"	"586763"
"1077238"	"586759"
"1077238"	"586753"
"1077238"	"593164"
"1077238"	"593474"
"1077238"	"593221"
"1077238"	"593627"
"1077238"	"593637"
"1077238"	"594090"
"1077238"	"605821"
"1077238"	"621518"
"1077238"	"1088871"
"1077238"	"1118916"
"1077238"	"1119153"
"1077238"	"1119412"
"1077238"	"1119536"
"1077238"	"1119436"
"1077238"	"1133405"
"1077239"	"209884"
"1077239"	"211877"
"1077239"	"610098"
"1077239"	"949610"
"1077239"	"1058870"
"1077240"	"610315"
"1077240"	"614083"
"1077240"	"614640"
"1077240"	"620253"
"1077240"	"623175"
"1077240"	"776463"
"1077240"	"841397"
"1077240"	"951701"
"1077240"	"952546"
"1077240"	"952882"
"1077240"	"953052"
"1077240"	"972793"
